year,doy,hod,coszen,PPFD,Tair,precip,VPD,Patm,u,Qle,NEE,GPP,LAI,CO2,O2,Vmax25,gamstar25,Tref,JV,Rlref,TRlref,Kc25,Ko25,alpha,c1,c2,c3,c4,eps_l,eps_s,albedo_l,albedo_ws,albedo_ds,tau_l,chi_l,kn,Ev,Ej,Egamstar,Ec,Eo,deltaSv,deltaSj,Hdv,Hdj,max_leaf_width,canopy_intercept,P50,P88,ratiocrit,kmax,g1,ground_area,Ztop,Zbottom,Ps,Psie,hyds,theta_sat,fc,pwp,bch,r_soil
[-],[-],[h],[-],[umol m-2 s-1],[deg C],[mm d-1],[kPa],[kPa],[m s-1],[W m-2],[umol m-2 s-1],[umol m-2 s-1],[m2 m-2],[Pa],[kPa],[umol s-1 m-2],[Pa],[deg C],[-],[umol s-1 m-2],[deg C],[Pa],[Pa],[mol(photon) mol(e-)-1],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[J mol-1],[J mol-1],[J mol-1],[J mol-1],[J mol-1],[J mol-1 K-1],[J mol-1 K-1],[J mol-1],[J mol-1],[m],[-],[-MPa],[-MPa],[-],[mmol m-2 s-1 MPa-1],[kPa0.5],[m2],[m],[m],[MPa],[MPa],[m s-1],[m3 m-3],[m3 m-3],[m3 m-3],[-],[-]
2006,1,0.5,0.0,0.0,-5.1080017,1.44,0.05,98.802,3.8369999999999997,4.3646400000000005,0.946412,-0.114218,0.001,37.0,20.73,23.357,4.22,25.0,1.67,0.350355,25.0,39.96,27.48,0.3,0.7,0.99,0.83,0.93,0.97,0.945,0.062,0.1,0.25,0.05,0.00999999978,0.001,60000.0,30000.0,37830.0,79430.0,36380.0,650.0,650.0,200000.0,200000.0,0.001,0.15,3.09,3.45,0.05,0.2408770438521926,1.2904717801,1.0,0.022000000000000002,1.3279317477654582,-0.0017818040340000004,-0.0017818040340000004,5.1679690000000005e-06,0.4276597,0.2742263,0.1533864,6.56929,0.2
2006,1,1.0,0.0,0.0,-5.106994599999998,3.8400002,0.05,98.795006,3.784,4.3407,0.9491879999999999,-0.11765,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,1,1.5,0.0,0.0,-5.1059875,0.96000004,0.05,98.788,3.7310000000000003,4.19172,0.9434620000000001,-0.11228199999999999,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,1,2.0,0.0,0.0,-5.1049805,1.44,0.05,98.781006,3.677,4.02424,0.9312940000000001,-0.100258,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,1,2.5,0.0,0.0,-5.104004,1.44,0.05,98.775,3.758,3.9156699999999995,0.928956,-0.098335,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,1,3.0,0.0,0.0,-5.102997,0.48000002,0.05,98.769005,3.838,3.79656,0.941808,-0.11199999999999999,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,1,3.5,0.0,0.0,-5.1009827,2.4,0.05,98.76301,3.9189999999999996,3.74758,0.9374129999999999,-0.111929,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,1,4.0,0.0,0.0,-5.100006,0.48000002,0.05,98.757,3.9989999999999997,3.7123800000000013,0.9360459999999999,-0.111893,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,1,4.5,0.0,0.0,-5.098999,0.0,0.05,98.75001,4.079,3.61438,0.9378799999999999,-0.114139,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
