year,doy,hod,coszen,PPFD,Tair,precip,VPD,Patm,u,Qle,NEE,GPP,LAI,CO2,O2,Vmax25,gamstar25,Tref,JV,Rlref,TRlref,Kc25,Ko25,alpha,c1,c2,c3,c4,eps_l,eps_s,albedo_l,albedo_ws,albedo_ds,tau_l,chi_l,kn,Ev,Ej,Egamstar,Ec,Eo,deltaSv,deltaSj,Hdv,Hdj,max_leaf_width,canopy_intercept,P50,P88,ratiocrit,kmax,g1,ground_area,Ztop,Zbottom,Ps,Psie,hyds,theta_sat,fc,pwp,bch,r_soil
[-],[-],[h],[-],[umol m-2 s-1],[deg C],[mm d-1],[kPa],[kPa],[m s-1],[W m-2],[umol m-2 s-1],[umol m-2 s-1],[m2 m-2],[Pa],[kPa],[umol s-1 m-2],[Pa],[deg C],[-],[umol s-1 m-2],[deg C],[Pa],[Pa],[mol(photon) mol(e-)-1],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[J mol-1],[J mol-1],[J mol-1],[J mol-1],[J mol-1],[J mol-1 K-1],[J mol-1 K-1],[J mol-1],[J mol-1],[m],[-],[-MPa],[-MPa],[-],[mmol m-2 s-1 MPa-1],[kPa0.5],[m2],[m],[m],[MPa],[MPa],[m s-1],[m3 m-3],[m3 m-3],[m3 m-3],[-],[-]
2005,1,0.5,0.0,0.0,2.8919982999999996,0.0,0.10759999599999999,100.4,1.974,-0.425009,0.43995100000000004,-0.43995,0.9412043501062176,37.0,20.73,57.7,4.22,25.0,1.67,0.8655,25.0,39.96,27.48,0.3,0.7,0.99,0.83,0.93,0.97,0.945,0.092,0.1,0.25,0.05,0.00999999978,0.001,60000.0,30000.0,37830.0,79430.0,36380.0,650.0,650.0,200000.0,200000.0,0.08,0.25,4.56,8.38,0.05,0.4117930896544828,4.447321,1.0,0.022000000000000002,0.5225053581995694,-0.001662621363,-0.001662621363,5.392385e-06,0.4250523,0.2710062,0.1525256,6.639966,0.2
2005,1,1.0,0.0,0.0,2.532013,0.0,0.1026,100.4,1.9680000000000002,0.47390299999999996,0.354311,-0.35431,0.9412043501062176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,1.5,0.0,0.0,2.8670044,0.0,0.0946,100.4,2.674,-0.823987,0.40098,-0.400979,0.9412043501062176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2.0,0.0,0.0,2.6430054,0.0,0.10640000599999999,100.4,2.623,-0.149444,0.018140299999999998,-0.01814,0.9412043501062176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2.5,0.0,0.0,2.3190002,0.0,0.0982,100.4,2.146,-0.6024189999999999,-0.0797687,0.079769,0.9412043501062176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,3.0,0.0,0.0,2.2480164,0.0,0.0884,100.4,2.562,0.46223400000000003,-0.0797687,0.079769,0.9412043501062176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,3.5,0.0,0.0,2.5180054,0.0,0.087900005,100.3,2.292,-0.591792,0.018140299999999998,-0.01814,0.9412043501062176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,4.0,0.0,0.0,2.4779967999999997,0.0,0.097899996,100.3,1.892,0.06416609999999999,0.010920399999999999,-0.010920000000000001,0.9412043501062176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,4.5,0.0,0.0,2.4890137,0.0,0.0972,100.3,2.8369999999999997,0.172015,0.018140299999999998,-0.01814,0.9412043501062176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,5.0,0.0,0.0,2.498993,0.0,0.0973,100.3,2.51,0.4170140000000001,0.676191,-0.67619,0.9412043501062176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,5.5,0.0,0.0,2.4110107000000003,0.0,0.0974,100.3,2.1390000000000002,0.011773899999999999,0.508037,-0.5080359999999999,0.9412043501062176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,6.0,0.0,0.0,2.433014,0.0,0.0961,100.3,2.17,0.45793999999999996,0.456487,-0.45648599999999995,0.9412043501062176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,6.5,0.0,0.0,2.149994,0.0,0.0977,100.3,2.355,0.0853239,0.011027,-0.011026000000000001,0.9412043501062176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,7.0,0.0,0.0,2.0769957999999997,0.0,0.097899996,100.3,2.286,0.42881400000000003,0.538131,-0.53813,0.9412043501062176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,7.5,0.0,0.0,2.2279967999999997,0.0,0.10759999599999999,100.4,2.364,0.295673,0.0127325,-0.012731999999999999,0.9412043501062176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,8.0,0.03508469795424518,57.9933,3.1589966,0.0,0.125,100.4,1.982,0.20577600000000001,-1.07412,1.07412,0.9412043501062176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,8.5,0.11221115420560362,269.40152,4.5630190000000015,0.0,0.165,100.4,2.434,0.49607799999999996,-0.5498569999999999,0.549858,0.9412043501062176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,9.0,0.18290460347174448,477.33652,5.820007299999999,0.0,0.22449999,100.4,1.973,4.41991,-0.730034,0.730035,0.9412043501062176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,9.5,0.2459554612357971,633.1735,6.0540160000000025,0.0,0.2789,100.50001,2.441,13.6839,-0.21010700000000002,0.210108,0.9412043501062176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,10.0,0.30028490984041817,467.7395,7.100006,0.0,0.29770002,100.60000600000001,2.285,7.35307,-0.109707,0.10970799999999999,0.9412043501062176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,10.5,0.3449633573570136,813.68854,7.8800050000000015,0.0,0.3258,100.60000600000001,2.311,8.83151,0.12288099999999999,-0.12287999999999999,0.9412043501062176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,11.0,0.3792263431613689,697.3821,8.75,0.0,0.36830002,100.60000600000001,2.167,17.815,0.308911,-0.30891,0.9412043501062176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,11.5,0.402487618066877,930.6805,9.480011,0.0,0.4388,100.4,2.6010000000000004,17.2123,-0.131672,0.131673,0.9412043501062176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,12.0,0.4143491752106608,900.51855,9.600006,0.0,0.4665,100.50001,2.158,37.0889,0.735984,-0.7359829999999999,0.9412043501062176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,12.5,0.4146080600613454,610.09503,9.880005,0.0,0.4678,100.50001,2.09,18.9458,0.5423180000000001,-0.542317,0.9412043501062176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,13.0,0.403259843027359,692.8121,9.920013,0.0,0.47779998,100.50001,1.607,21.0221,0.32448699999999997,-0.324486,0.9412043501062176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,13.5,0.3804986952484734,555.255,9.679993,0.0,0.4686,100.50001,1.8940000000000001,13.5755,0.374527,-0.374526,0.9412043501062176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,14.0,0.3467140662737676,336.3520200000001,9.429993,0.0,0.43800002,100.50001,1.4880000000000002,6.87892,0.19563699999999998,-0.19563599999999998,0.9412043501062176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,14.5,0.3024840204718676,267.802,9.230011,0.0,0.42020002,100.4,1.724,8.6472,0.617784,-0.617783,0.9412043501062176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,15.0,0.2485653461893294,206.107,8.839996000000003,0.0,0.4336,100.50001,1.3730000000000002,13.8427,0.555411,-0.5554100000000001,0.9412043501062176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,15.5,0.18588060689220787,90.64595,8.140015,0.0,0.44829997,100.50001,1.271,2.38465,-0.43391899999999994,0.43392,0.9412043501062176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,16.0,0.11550235584936995,0.0,7.75,0.0,0.44250003,100.50001,1.67,3.97056,-0.09133689999999996,0.091338,0.9412043501062176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,16.5,0.038634784448695995,0.0,6.9770202999999995,0.0,0.42930004,100.50001,2.08,3.23956,0.467842,-0.467841,0.9412043501062176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,17.0,0.0,0.0,6.1880190000000015,0.0,0.37820002,100.50001,2.142,1.4052200000000001,0.47422600000000004,-0.474225,0.9412043501062176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,17.5,0.0,0.0,5.57901,0.0,0.33940002,100.50001,2.155,1.19095,-0.34010999999999997,0.340111,0.9412043501062176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,18.0,0.0,0.0,5.0240173,0.0,0.312,100.4,1.3940000000000001,-0.9442879999999999,-0.343842,0.343843,0.9412043501062176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,18.5,0.0,0.0,5.162018,0.0,0.2854,100.4,1.315,3.33112,-0.349894,0.34989499999999996,0.9412043501062176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,19.0,0.0,0.0,5.1650085,0.0,0.294,100.4,1.4409999999999998,-0.468079,-0.349894,0.34989499999999996,0.9412043501062176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,19.5,0.0,0.0,5.1910095,0.0,0.2968,100.4,1.745,0.7912399999999999,-0.349894,0.34989499999999996,0.9412043501062176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,20.0,0.0,0.0,5.020996,0.0,0.2909,100.4,2.206,0.740086,-0.343842,0.343843,0.9412043501062176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,20.5,0.0,0.0,4.567993,0.0,0.2693,100.4,2.096,0.5766359999999999,-0.280911,0.280912,0.9412043501062176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,21.0,0.0,0.0,4.8880004999999995,0.0,0.24590002,100.60000600000001,1.8840000000000001,-0.039059199999999995,-0.325508,0.325509,0.9412043501062176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,21.5,0.0,0.0,4.208008,0.0,0.2419,100.60000600000001,2.114,0.0819974,-0.232861,0.23286199999999999,0.9412043501062176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,22.0,0.0,0.0,4.45401,0.0,0.22090001,100.60000600000001,2.262,0.487231,-0.198071,0.198072,0.9412043501062176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,22.5,0.0,0.0,4.2489930000000005,0.0,0.2244,100.60000600000001,2.303,0.591011,-0.232861,0.23286199999999999,0.9412043501062176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,23.0,0.0,0.0,4.0180054,0.0,0.21180001,100.50001,2.148,0.6654,-0.242799,0.2428,0.9412043501062176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,23.5,0.0,0.0,3.104004,0.0,0.1886,100.50001,1.456,0.533736,0.0759812,-0.07598099999999999,0.9412043501062176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,24.0,0.0,0.0,2.8659972999999996,0.0,0.1592,100.50001,1.9769999999999999,0.374713,0.0104866,-0.010486,0.9412043501062176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,0.5,0.0,0.0,2.4980164,0.0,0.1368,100.50001,1.972,0.4169229999999999,0.018140299999999998,-0.01814,0.9377042435714358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,1.0,0.0,0.0,2.9060059,0.0,0.131,100.50001,2.1,3.4380800000000002,0.021191400000000003,-0.021190999999999998,0.9377042435714358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,1.5,0.0,0.0,3.4190062999999995,0.0,0.1452,100.50001,1.8,0.0603775,-0.14219400000000001,0.14219500000000002,0.9377042435714358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,2.0,0.0,0.0,3.0630188,0.0,0.1622,100.50001,1.7990000000000002,-0.0229689,0.0714334,-0.07143300000000001,0.9377042435714358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,2.5,0.0,0.0,3.0639953999999996,0.0,0.1515,100.4,2.156,0.059466899999999996,0.0714334,-0.07143300000000001,0.9377042435714358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,3.0,0.0,0.0,3.2189941,0.0,0.1555,100.4,1.41,0.012131200000000002,0.016134,-0.016133,0.9377042435714358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,3.5,0.0,0.0,2.1080017000000004,0.0,0.1487,100.4,1.819,-0.1221,0.170268,-0.170267,0.9377042435714358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,4.0,0.0,0.0,1.8430176,0.0,0.11030000400000001,100.4,1.5519999999999998,-0.030803800000000006,0.216939,-0.21693800000000002,0.9377042435714358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,4.5,0.0,0.0,0.95401,0.0,0.0936,100.3,1.6980000000000002,0.551512,0.347118,-0.347117,0.9377042435714358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,5.0,0.0,0.0,1.1560059,0.0,0.0671,100.3,1.645,0.558293,0.218254,-0.21825300000000009,0.9377042435714358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,5.5,0.0,0.0,0.8500061,0.0,0.067600004,100.3,1.534,0.5739850000000001,0.347118,-0.347117,0.9377042435714358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,6.0,0.0,0.0,0.041992188,0.0,0.0588,100.3,1.7530000000000001,0.676874,0.365274,-0.365273,0.9377042435714358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,6.5,0.0,0.0,0.80999756,0.0,0.05,100.3,1.3769999999999998,0.028631,0.347118,-0.347117,0.9377042435714358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,7.0,0.0,0.0,0.8550110000000001,0.0,0.0592,100.3,1.485,0.5739850000000001,0.347118,-0.347117,0.9377042435714358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,7.5,0.0,0.0,1.1480103000000002,0.0,0.0598,100.3,1.982,0.023558000000000003,0.218254,-0.21825300000000009,0.9377042435714358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,8.0,0.034938698850262566,152.52376,2.3320007,0.0,0.07300001,100.4,1.6980000000000002,0.0537492,0.560203,-0.5602020000000001,0.9377042435714358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,8.5,0.11219578151881544,349.148,3.8110046000000004,0.0,0.1068,100.4,1.3980000000000001,1.10574,0.46403599999999995,-0.46403500000000003,0.9377042435714358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,9.0,0.1830348141948705,327.212,4.9989930000000005,0.0,0.1387,100.50001,1.125,5.0681400000000005,-0.172796,0.172797,0.9377042435714358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,9.5,0.24624372138904976,417.4695,6.4210205,0.0,0.1714,100.50001,0.5760000000000001,-0.329908,-0.32403200000000004,0.324033,0.9377042435714358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,10.0,0.3007409811744411,705.6080000000003,7.610016000000001,0.0,0.22360002,100.60000600000001,0.698,17.8728,0.25514000000000003,-0.255139,0.9377042435714358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,10.5,0.3455941303266215,849.1060000000001,9.910003999999999,0.0,0.2735,100.60000600000001,0.47,9.7875,0.506727,-0.506726,0.9377042435714358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,11.0,0.3800357190279549,989.1765,9.800018,0.0,0.3515,100.700005,0.654,16.2479,-0.040042699999999994,0.040044,0.9377042435714358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,11.5,0.4034764421467489,805.69104,10.200012,0.0,0.33740002,100.60000600000001,1.217,22.1661,-0.71811,0.7181109999999999,0.9377042435714358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,12.0,0.4155152224114448,765.47504,10.240021,0.0,0.3345,100.50001,1.341,11.5457,0.186527,-0.186526,0.9377042435714358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,12.5,0.4159460729539333,767.303,10.410003999999999,0.0,0.3434,100.50001,0.9690000000000001,12.125,0.19561900000000002,-0.19561800000000001,0.9377042435714358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,13.0,0.4047616218019779,750.09015,10.830017,0.0,0.3441,100.50001,1.625,19.6899,0.8948520000000001,-0.8948510000000001,0.9377042435714358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,13.5,0.3821532380157043,688.0889,11.320007,0.0,0.4391,100.50001,1.774,14.9922,-0.109615,0.109616,0.9377042435714358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,14.0,0.34850775730992384,717.49005,11.720001,0.0,0.4724,100.50001,1.216,15.2383,0.481592,-0.481591,0.9377042435714358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,14.5,0.304400863187802,579.476,11.580017,0.0,0.4686,100.50001,0.812,12.9156,1.09791,-1.09791,0.9377042435714358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,15.0,0.2505872368365096,421.12552,11.740021,0.0,0.45970002,100.4,0.915,1.80502,0.629497,-0.629496,0.9377042435714358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,15.5,0.1879876443228732,254.77751,10.709991,0.0,0.44640002,100.4,0.905,3.21793,0.625302,-0.625301,0.9377042435714358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,16.0,0.1176731820306871,94.75896,9.190002,0.0,0.32799999999999996,100.4,1.073,-1.03401,-0.299108,0.299109,0.9377042435714358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,16.5,0.04084694990462262,0.0,8.190002,0.0,0.2174,100.4,1.128,-1.05526,-0.588525,0.588526,0.9377042435714358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,17.0,0.0,0.0,7.440002400000001,0.0,0.1239,100.4,1.296,0.8748040000000001,-0.42510699999999996,0.425108,0.9377042435714358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,17.5,0.0,0.0,6.5190125,0.0,0.0533,100.4,1.568,-1.06926,-0.395424,0.395425,0.9377042435714358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,18.0,0.0,0.0,4.6969910000000015,0.0,0.05,100.4,0.9790000000000001,0.592118,-0.331552,0.33155300000000004,0.9377042435714358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,18.5,0.0,0.0,4.2860107,0.0,0.05,100.4,1.666,0.08386829999999999,-0.232861,0.23286199999999999,0.9377042435714358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,19.0,0.0,0.0,4.649994,0.0,0.05,100.3,1.305,0.5678449999999999,-0.331552,0.33155300000000004,0.9377042435714358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,19.5,0.0,0.0,4.5070190000000006,0.0,0.05,100.3,1.5930000000000002,0.0458646,-0.255407,0.25540799999999997,0.9377042435714358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,20.0,0.0,0.0,3.205017,0.0,0.05,100.3,2.108,0.00907901,0.016134,-0.016133,0.9377042435714358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,20.5,0.0,0.0,3.270996,0.0,0.05,100.200005,1.814,0.4810970000000001,0.0136316,-0.013631,0.9377042435714358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,21.0,0.0,0.0,3.5159912,0.0,0.05,100.200005,1.2229999999999999,0.4738520000000001,-1.19925,1.19925,0.9377042435714358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,21.5,0.0,0.0,3.369995,0.0,0.05,100.200005,2.112,0.471808,-0.08707589999999997,0.087077,0.9377042435714358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,22.0,0.0,0.0,2.2570189999999997,0.0,0.05,100.200005,1.6159999999999999,0.47543,-0.0797687,0.079769,0.9377042435714358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,22.5,0.0,0.0,2.6629944,0.0,0.05,100.200005,2.6060000000000003,0.544862,0.018140299999999998,-0.01814,0.9377042435714358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,23.0,0.0,0.0,3.3470154,0.0,0.05,100.3,1.7369999999999999,2.4313599999999997,-0.08707589999999997,0.087077,0.9377042435714358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,23.5,0.0,0.0,3.876007,0.0,0.05,100.3,0.693,4.071269999999998,-0.166051,0.166052,0.9377042435714358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2,24.0,0.0,0.0,4.1150208,0.0,0.05,100.3,1.2770000000000001,0.640964,-0.232861,0.23286199999999999,0.9377042435714358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
