year,doy,hod,coszen,PPFD,Tair,precip,VPD,Patm,u,Qle,NEE,GPP,LAI,CO2,O2,Vmax25,gamstar25,Tref,JV,Rlref,TRlref,Kc25,Ko25,alpha,c1,c2,c3,c4,eps_l,eps_s,albedo_l,albedo_ws,albedo_ds,tau_l,chi_l,kn,Ev,Ej,Egamstar,Ec,Eo,deltaSv,deltaSj,Hdv,Hdj,max_leaf_width,canopy_intercept,P50,P88,ratiocrit,kmax,g1,ground_area,Ztop,Zbottom,Ps,Psie,hyds,theta_sat,fc,pwp,bch,r_soil
[-],[-],[h],[-],[umol m-2 s-1],[deg C],[mm d-1],[kPa],[kPa],[m s-1],[W m-2],[umol m-2 s-1],[umol m-2 s-1],[m2 m-2],[Pa],[kPa],[umol s-1 m-2],[Pa],[deg C],[-],[umol s-1 m-2],[deg C],[Pa],[Pa],[mol(photon) mol(e-)-1],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[J mol-1],[J mol-1],[J mol-1],[J mol-1],[J mol-1],[J mol-1 K-1],[J mol-1 K-1],[J mol-1],[J mol-1],[m],[-],[-MPa],[-MPa],[-],[mmol m-2 s-1 MPa-1],[kPa0.5],[m2],[m],[m],[MPa],[MPa],[m s-1],[m3 m-3],[m3 m-3],[m3 m-3],[-],[-]
2005,1,0.5,0.0,0.0,1.7000122,0.0,0.05,101.200005,3.94,-4.1,2.07267,-0.144867,0.003764442318909977,37.0,20.73,80.1,4.22,25.0,1.67,1.2015,25.0,39.96,27.48,0.3,0.7,0.99,0.83,0.93,0.97,0.945,0.092,0.1,0.25,0.05,0.00999999978,0.001,60000.0,30000.0,37830.0,79430.0,36380.0,650.0,650.0,200000.0,200000.0,0.08,0.25,3.15,3.67,0.05,1.0,3.6617048923,1.0,0.022000000000000002,1.1229936481605063,-0.001618224246,-0.001618224246,5.707109e-06,0.4237338,0.2650361,0.1463432,6.4264,0.2
2005,1,1.0,0.0,0.0,1.7799988000000002,0.0,0.05,101.200005,4.66,-4.5,2.0314799999999997,-0.111222,0.003764442318909977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,1.5,0.0,0.0,1.4700011999999998,0.0,0.05,101.200005,4.01,9.2,2.08372,-0.177626,0.003764442318909977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2.0,0.0,0.0,1.4400024,0.0,0.05,101.200005,3.82,-5.13699,2.07578,-0.172454,0.003764442318909977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2.5,0.0,0.0,1.3200073,0.0,0.05,101.200005,3.62,-9.4,2.02778,-0.135278,0.003764442318909977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,3.0,0.0,0.0,1.5200195,0.0,0.05,101.3,4.51,13.2,2.04605,-0.135205,0.003764442318909977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,3.5,0.0,0.0,1.4900208000000001,9.6,0.05,101.3,4.74,-7.0,2.0526400000000002,-0.144716,0.003764442318909977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,4.0,0.0,0.0,1.3900146,0.0,0.05,101.3,4.8,-8.0,2.0461099999999997,-0.14689000000000002,0.003764442318909977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,4.5,0.0,0.0,1.2099915,0.0,0.05,101.3,4.15,-4.7,2.7,-0.838457,0.003764442318909977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,5.0,0.0,0.0,1.2200011999999998,0.0,0.05,101.200005,4.51,-8.4,0.98,0.8825700000000001,0.003764442318909977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,5.5,0.0,0.0,1.3099976,0.0,0.05,101.200005,5.29,-13.7,1.66,0.211815,0.003764442318909977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,6.0,0.0,0.0,1.4100037,0.0,0.05,101.200005,5.57,-3.1,1.57,0.312098,0.003764442318909977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,6.5,0.0,0.0,1.3399963,0.0,0.05,101.200005,5.4,-9.8,2.94,-1.0651,0.003764442318909977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,7.0,0.0,0.0,1.2900085,0.0,0.05,101.200005,5.63,-11.7,2.37,-0.5002409999999999,0.003764442318909977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,7.5,0.0,0.0,1.3500061,0.0,0.05,101.200005,5.76,-15.0,2.59,-0.714074,0.003764442318909977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,8.0,0.0,0.0,1.5500183,0.0,0.05,101.3,4.84,5.4,1.09,0.806517,0.003764442318909977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,8.5,0.0,0.0,1.6799927,0.0,0.05,101.3,4.72,10.8,0.65,1.25993,0.003764442318909977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,9.0,0.01839743406389388,82.71700000000001,1.7400208,0.0,0.05,101.3,5.41,15.7,2.23,-0.313875,0.003764442318909977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,9.5,0.06699955740767027,54.15450300000001,0.8699950999999999,0.0,0.05,101.3,5.45,4.0,4.87,-3.0432799999999998,0.003764442318909977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,10.0,0.1089394079335595,65.122505,0.23001099,0.0,0.05,101.3,4.88,-15.3,0.81,0.9516049999999999,0.003764442318909977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,10.5,0.14349938317114047,81.803,0.66000366,0.0,0.05,101.3,5.15,-5.3,-0.9,2.70529,0.003764442318909977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,11.0,0.1700881523622626,61.238,1.1499939,0.0,0.05,101.200005,4.93,-1.5,-0.74,2.59539,0.003764442318909977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,11.5,0.18825077429426645,107.6235,1.8000183,0.0,0.05,101.200005,5.25,14.5,-0.51,2.43233,0.003764442318909977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,12.0,0.1976764814702653,150.81001,2.4500122,0.0,0.05,101.10000600000001,5.52,-2.10968,-2.76,4.74979,0.003764442318909977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,12.5,0.19820399742717792,255.46301,2.6799927,0.0,0.05,101.10000600000001,5.15,-6.5,-0.41,2.42378,0.003764442318909977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,13.0,0.18982429622072666,284.4825,2.980011,0.0,0.05,101.00001,5.63,-11.2,-0.15,2.19516,0.003764442318909977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
