year,doy,hod,coszen,PPFD,Tair,precip,VPD,Patm,u,Qle,NEE,GPP,LAI,CO2,O2,Vmax25,gamstar25,Tref,JV,Rlref,TRlref,Kc25,Ko25,alpha,c1,c2,c3,c4,eps_l,eps_s,albedo_l,albedo_ws,albedo_ds,tau_l,chi_l,kn,Ev,Ej,Egamstar,Ec,Eo,deltaSv,deltaSj,Hdv,Hdj,max_leaf_width,canopy_intercept,P50,P88,ratiocrit,kmax,sfw,nfc,npwp,g1,ground_area,Ztop,Zbottom,Ps,Psie,hyds,theta_sat,fc,pwp,bch,r_soil
[-],[-],[h],[-],[umol m-2 s-1],[deg C],[mm d-1],[kPa],[kPa],[m s-1],[W m-2],[umol m-2 s-1],[umol m-2 s-1],[m2 m-2],[Pa],[kPa],[umol s-1 m-2],[Pa],[deg C],[-],[umol s-1 m-2],[deg C],[Pa],[Pa],[mol(photon) mol(e-)-1],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[J mol-1],[J mol-1],[J mol-1],[J mol-1],[J mol-1],[J mol-1 K-1],[J mol-1 K-1],[J mol-1],[J mol-1],[m],[-],[-MPa],[-MPa],[-],[mmol m-2 s-1 MPa-1],[-],[m3 m-3],[m3 m-3],[kPa0.5],[m2],[m],[m],[MPa],[MPa],[m s-1],[m3 m-3],[m3 m-3],[m3 m-3],[-],[-]
2003,1,0.5,0.0,0.0,12.399994,0.0,0.09944637,100.24089000000001,2.252,11.282606,2.4192026,0.25657502,1.4960359414510611,37.0,20.73,61.4,4.22,25.0,1.67,0.921,25.0,39.96,27.48,0.3,0.7,0.99,0.83,0.93,0.97,0.945,0.076,0.1,0.25,0.05,0.00999999978,0.001,60000.0,30000.0,37830.0,79430.0,36380.0,650.0,650.0,200000.0,200000.0,0.05,0.25,4.121,4.5,0.05,0.6583435080844952,1.0,0.0,0.0,4.114762000000002,1.0,0.022,1.2563308394935309,-0.001241952867,-0.001241952867,7.129696e-06,0.4133184,0.2462785,0.1348303,6.335357,0.4
2003,1,1.0,0.0,0.0,12.399994,0.0,0.1016502,100.24089000000001,2.131,11.282606,2.4185705,0.2572072,1.4960359414510611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1,1.5,0.0,0.0,12.399994,0.0,0.101794265,100.24089000000001,2.5,2.27513,5.2038426,-2.5280650000000002,1.4960359414510611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1,2.0,0.0,0.0,12.399994,0.0,0.10654765,100.24089000000001,2.4,3.1310599999999997,2.9743562000000003,-0.29857849999999997,1.4960359414510611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1,2.5,0.0,0.0,12.0,0.0,0.093831494,100.23937,2.773,5.41678,3.1426005,-0.48833180000000004,1.4960359414510611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1,3.0,0.0,0.0,12.0,0.0,0.09538883,100.23937,2.977,7.35186,3.2787813999999997,-0.6245126999999999,1.4960359414510611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1,3.5,0.0,0.0,12.700012,0.0,0.09675263,100.24201,2.855,3.9704800000000002,1.1653881000000001,1.5264406000000001,1.4960359414510611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1,4.0,0.0,0.0,12.700012,0.0,0.09853025,100.24201,3.373,5.30809,3.3654926,-0.6736639,1.4960359414510611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1,4.5,0.0,0.0,13.0,0.0,0.07930045,100.24315,3.4139999999999997,10.15455,4.0650260000000005,-1.3572136000000001,1.4960359414510611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1,5.0,0.0,0.0,13.0,0.0,0.08775042,100.24315,2.8739999999999997,10.15455,2.4313632999999997,0.27644864,1.4960359414510611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1,5.5,0.0,0.0,12.899994,0.0,0.07864926,100.24277,3.077,10.556473,2.368944,0.3335479,1.4960359414510611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1,6.0,0.0,0.0,12.899994,0.0,0.08036099,100.24277,2.858,10.556473,2.3684373,0.33405450000000003,1.4960359414510611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1,6.5,0.0,0.0,12.899994,0.0,0.08046514,100.24277,2.707,10.556473,2.3684062999999997,0.33408538,1.4960359414510611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1,7.0,0.008155692449883095,0.0,12.899994,9.6,0.061815012,100.24277,2.322,10.795707,2.3731651,0.32932675,1.4960359414510611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1,7.5,0.09384568133674084,0.0,12.5,0.0,0.05,100.241264,2.55,11.154261,1.912897,0.7682385,1.4960359414510611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1,8.0,0.17375000232069499,69.45251,12.5,19.2,0.05,100.241264,2.656,35.86925499999999,-0.040434513,2.7215700000000003,1.4960359414510611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1,8.5,0.2465014703160472,94.70473,12.200012,9.6,0.05,100.24013000000001,2.364,36.310140000000004,-0.79984754,3.464886,1.4960359414510611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1,9.0,0.31085528753487923,118.341705,12.200012,9.6,0.05,100.24013000000001,1.942,27.0357,-1.9015167000000002,4.566555,1.4960359414510611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1,9.5,0.36571034232232796,139.05161999999999,11.899994,0.0,0.05,100.23899999999999,2.501,12.763249,-1.9606819,4.6095543,1.4960359414510611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1,10.0,0.4101280494822859,155.66823,11.899994,0.0,0.05,100.23899999999999,2.4819999999999998,6.2377085999999995,-2.4132757000000002,5.0621485999999996,1.4960359414510611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1,10.5,0.4433484097303309,167.24641,12.5,0.0,0.05,100.241264,2.2769999999999997,25.202145,-5.459267,8.140403,1.4960359414510611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1,11.0,0.4648030134921951,172.96056000000004,12.5,9.6,0.05,100.241264,2.0780000000000003,22.833551,-4.3667526,7.047888,1.4960359414510611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1,11.5,0.4741247665491733,166.76808,13.0,9.6,0.05,100.24315,2.3369999999999997,30.934472999999997,-5.5829910000000025,8.290804,1.4960359414510611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1,12.0,0.4711541711219819,154.90164,13.0,0.0,0.05,100.24315,2.016,64.50228,-5.497925,8.205737,1.4960359414510611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1,12.5,0.4559420549219851,138.04047,14.100006,0.0,0.059405904,100.24726,1.9380000000000002,47.157063,-5.590597,8.356432,1.4960359414510611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1,13.0,0.42874870147496025,117.14333,14.100006,0.0,0.08097287,100.24726,2.5610000000000004,47.157063,-3.4527845,6.218619,1.4960359414510611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1,13.5,0.39003939659780784,93.38611999999999,14.700012,0.0,0.099754594,100.2495,3.085,45.083890000000004,-3.4010873,6.1981874,1.4960359414510611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1,14.0,0.3404764672292229,68.08615999999999,14.700012,9.6,0.07750147,100.2495,2.8360000000000003,49.02988,-0.52693284,3.324033,1.4960359414510611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1,14.5,0.280907948832142,0.0,15.100006,0.0,0.064399205,100.25098,2.966,9.015768,1.3396238999999999,1.4781697,1.4960359414510611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1,15.0,0.2123530752718524,0.0,15.100006,0.0,0.05,100.25098,2.4290000000000003,9.519988,2.473848,0.34394562,1.4960359414510611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
