doy,hod,A(std),E(std),Ci(std),Rublim(std),gs(std),Es(std),sw(std),Ps(std)
[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[Pa],[-],[mol m-2 s-1],[mmol m-2 s-1],[m3 m-3],[MPa]
1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.41331840000000003,-0.001241952867
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4090963415848655,-0.0013254256837711427
1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4048742831819135,-0.0014154636553548165
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40065222477896134,-0.0015126598532412302
1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.39762924028959473,-0.0015870105855851995
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39378564056841275,-0.0016877384081052341
1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3907996421271269,-0.0017711202088335485
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3877484146391714,-0.0018612915052760232
1.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.38524830375248753,-0.0019391539354804777
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3827928319791678,-0.0020193201656509537
1.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3805701310886526,-0.002095211717388238
1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37854160982598967,-0.002167368482844403
1.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3766772785437941,-0.002236232889542592
1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37495343057516045,-0.002302171367211359
1.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3733510398313341,-0.0023654904455406743
1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.371854628167226,-0.0024264489779476277
1.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.37045144946033115,-0.0024852675000226416
1,9.0,2.343175697461511,0.22728887747047236,16.340894459553514,False,0.0863211552241377,0.012224681053416049,0.36913089168121566,-0.002542135453690968
1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3681047382261372,-0.0025873669914802965
1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36691392274704204,-0.0026410294840273295
1,10.5,2.5318461495671936,0.23043965868850064,16.41088185765547,False,0.09639634631970014,0.016862060190692352,0.36601209593947853,-0.002682527508688614
1,11.0,3.6403442265143733,0.32762367896106526,16.416107213722494,False,0.13894833432798662,0.06376777662796777,0.3649217913614393,-0.0027337105359056565
1,11.5,5.62311786031678,0.5339353298128953,16.35521264139371,False,0.20853512232246343,0.1915158368831489,0.3643366167194597,-0.0027616467423080236
1,12.0,6.272148126703698,0.6263056227632741,16.299719578517607,False,0.22673811835902474,0.2483722489851451,0.3633145435981956,-0.0028112372619803925
1,12.5,4.541726031169883,0.44945487254428884,16.270215448636215,False,0.1620109227809774,0.11581444576442915,0.36233338829170403,-0.0028598148749077058
1,13.0,4.695740706510052,0.45369264287126226,16.325613517250996,False,0.17177249874926934,0.1277750111230612,0.3614010914681939,-0.0029068761090441956
1,13.5,3.8250510317851463,0.3568436493705097,16.380250283841338,False,0.14352875322092684,0.08547957862875491,0.3607360660322285,-0.0029409940310518804
1,14.0,3.829260410469049,0.3669839022547355,16.350958197915503,False,0.1417282102523474,0.09297192172300957,0.35987134070462545,-0.002986052949360972
1,14.5,3.0768182220382445,0.2902869877167911,16.391228857166993,False,0.1160536094843641,0.06192107355755495,0.3590388829989641,-0.003030187243045601
1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.023366836344316272,0.35823948380186604,-0.0030732812360240894
1.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35770796324563026,-0.003102327256968906
1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3569651724901866,-0.0031434527090707007
1.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3562474515902302,-0.0031837909060793155
