doy,hod,A(std),E(std),Ci(std),Rublim(std),gs(std),Es(std),sw(std),Ps(std)
[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[Pa],[-],[mol m-2 s-1],[mmol m-2 s-1],[m3 m-3],[MPa]
1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4214145,-0.001503719964
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41110017667585813,-0.0017823469988841498
1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.40114848127982733,-0.0021086240792430218
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3908341579676556,-0.0025211756162131934
1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3856295867347572,-0.00276403005589258
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3818755271664231,-0.00295588353588646
1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.37667095593352484,-0.003247658878991031
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3718178880863356,-0.003549805395264933
1.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3699391447766792,-0.0036753299825902676
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36728167729816896,-0.0038616682100154013
1.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.36500645670552434,-0.004029841515383414
1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3643149360342608,-0.004082607251056538
1.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.36241259632865863,-0.004231895934539835
1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36069352404507393,-0.004372203027521725
1.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.359121720745133,-0.0045051718228128245
1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35902510098327156,-0.004513495491334423
1.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3576019781856251,-0.004638159857749326
1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3576433166324522,-0.00463448346002445
1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.008867764880086143,0.356339423013322,-0.004752070155711943
1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.08802169199344811,0.3551232073413491,-0.004864840369527746
1.0,10.5,0.0,0.0,0.0,0.0,0.0,0.17011615116698153,0.35397659738079096,-0.004973972700436821
1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.4178258723970423,0.35426661109724894,-0.00494610699934959
1.0,11.5,0.0,0.0,0.0,0.0,0.0,0.24385744835391013,0.35315685156800875,-0.0050537151334636606
1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.2799364117176741,0.3521216332625665,-0.0051565197185777034
1.0,12.5,0.0,0.0,0.0,0.0,0.0,0.2261179398803952,0.3511372145612095,-0.005256507841339693
1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.28663745992403256,0.35020476976285025,-0.005353270463141154
1.0,13.5,0.0,0.0,0.0,0.0,0.0,0.30861116395548294,0.35070050797102265,-0.005301574495085445
1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.10929256950670513,0.3497908843744587,-0.005396873477093553
1.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.34893863783495493,-0.0054879459805207784
1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34813250713787314,-0.0055757143603340446
1.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.347360411416032,-0.005661288098320607
1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3466193705568386,-0.005744837955423561
1.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35148803136929535,-0.00522062249536914
1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35338429446941694,-0.005031444282292517
1.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35521250473180904,-0.004856456991472077
1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35421679639604187,-0.004950880650211702
1.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3546702039510523,-0.00490762529073309
1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35512189232645136,-0.004864963949002123
1.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35418566240309357,-0.004953866843871218
1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35469104479342534,-0.004905647494774024
1.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35379936223159875,-0.0049910907195727106
1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35295313051802807,-0.005073759113339074
1.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3535404733296562,-0.005016216610567868
1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3527188986469824,-0.005096917698018647
1.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3519335696079931,-0.005175451901794164
1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3525780190642696,-0.0051109048317210404
1.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35180662216732045,-0.005188276601825013
1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3607767759318989,-0.00436528659693847
2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.361064205423775,-0.004341503597513743
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.362737377515461,-0.0042059712079437
2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.36297888734867384,-0.004186811318294233
2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3632315118959459,-0.004166876589367349
2.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.36348881671001254,-0.0041466842490565405
2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3637452469234313,-0.004126672009712492
2.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3639958495228675,-0.004107221412874801
2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3642363993191016,-0.004088649813970431
2.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3630912602241671,-0.00417793045668283
2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36199771960817817,-0.00426527903158034
2.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3609470660063929,-0.0043511781859506
2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3626907700344488,-0.00420968030976229
2.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.37243260555400093,-0.0035098060865651538
2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.373443819357579,-0.003445125119735975
2.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3730820726456118,-0.0034681055953700046
2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37276115865996684,-0.0034886392258047256
2.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3724555895206619,-0.0035083205788969548
2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37080732079220446,-0.003616703009453595
2.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.37811311575178297,-0.0031636294442414876
2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.378713009440847,-0.003129411465318485
2.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.38101433882860214,-0.0030020196540140854
2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3844950736596378,-0.0028204636384063773
2.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.39534819017017075,-0.0023301879766189347
2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40032259591282543,-0.0021386471175252734
2.0,12.5,0.0,0.0,0.0,0.0,0.0,0.027082871350454514,0.3976570994121628,-0.0022389391453939873
2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.2876211715795867,0.39524025766264415,-0.0023345566478446622
2.0,13.5,0.0,0.0,0.0,0.0,0.0,0.6322178299300961,0.3913984213016882,-0.0024963470514736933
2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.03318061963929497,0.388736897469913,-0.0026159716669697103
2.0,14.5,0.0,0.0,0.0,0.0,0.0,0.014692786211344793,0.3847052666599841,-0.0028099091971083095
2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.382296301422768,-0.0029336373330859805
2.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3814438171305232,-0.002978909037423707
2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37954166864686195,-0.003082839804894008
