doy,hod,A(std),E(std),Ci(std),Rublim(std),gs(std),Es(std),sw(std),Ps(std)
[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[Pa],[-],[mol m-2 s-1],[mmol m-2 s-1],[m3 m-3],[MPa]
1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4200939,-0.00147848472
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4168853691222334,-0.001551964690966083
1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4136768382568806,-0.0016297072040846372
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4104683073915279,-0.0017119955133139953
1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4072631361971618,-0.0017990402325818067
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40419792524291315,-0.0018871124290159341
1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4013454710923112,-0.0019735849431489197
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39872082863862957,-0.0020572279118263744
1.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3963118687077055,-0.002137629258913978
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39409733252780244,-0.0022147672502081874
1.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.39205471510824114,-0.0022887876158837156
1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3901631971963441,-0.002359898040461642
1.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.388404488545295,-0.002428320085229046
1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3867628565376038,-0.0024942681317661063
1.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.385224871471467,-0.002557940944788389
1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38377908218232104,-0.0026195190951711646
1.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3824157032246207,-0.0026791650453270744
1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3811263403443296,-0.002737024370484656
1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.06434881195721094,0.3799037591499986,-0.002793227386550451
1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.15180004511917194,0.3787402722459262,-0.0028479584638024724
1.0,10.5,0.0,0.0,0.0,0.0,0.0,0.14670483273559035,0.3776299148367107,-0.002901351592507372
1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.15593685486186054,0.37656995967114826,-0.002953405360776988
1.0,11.5,0.0,0.0,0.0,0.0,0.0,0.23901806157215236,0.3755558958553338,-0.0030042202670844133
1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.463215745155164,0.37458238811320693,-0.003053957774697588
1.0,12.5,0.0,0.0,0.0,0.0,0.0,0.5609799385988837,0.3736430340389491,-0.003102856488177772
1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.41775502749319493,0.3727377010220886,-0.003150844210790502
1.0,13.5,0.0,0.0,0.0,0.0,0.0,0.32897319387489915,0.37186909697082804,-0.003197694726456535
1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.21539350640959545,0.371033671919487,-0.0032435183533912272
1.0,14.5,0.0,0.0,0.0,0.0,0.0,0.15837816685388337,0.3702298599241929,-0.003288327279880273
1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0878926075243899,0.36945450171835825,-0.0033322306393829297
1.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.368706164109514,-0.003375248979561271
1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3679836584466716,-0.003417393716112503
1.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3672836091818814,-0.003458810890102252
1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36660470585355975,-0.0034995332045253775
1.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3659457478519623,-0.003539591058242914
1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36530563260367604,-0.0035790127619549123
1.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3646833452875689,-0.003617824729401491
1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36407794985242337,-0.003656051647090538
1.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3634885811452736,-0.003693716625360141
1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3629144379910468,-0.0037308413331719383
1.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.362354777089922,-0.003767446118685774
1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3618089076200214,-0.0038035501173740265
1.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3612761864505181,-0.0038391713491881447
1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36075601388470974,-0.003874326806081765
1.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.36024782986462595,-0.00390903253101791
1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35975111057876225,-0.003943303689437984
1.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3592653654229246,-0.003977154634042082
1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35879013427122,-0.004010598963620999
2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3583249850201747,-0.004043649576586341
