doy,hod,A(std),E(std),Ci(std),Rublim(std),gs(std),Es(std),sw(std),Ps(std)
[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[Pa],[-],[mol m-2 s-1],[mmol m-2 s-1],[m3 m-3],[MPa]
1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4250523,-0.001662621363
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42120552930931987,-0.0017660784029911983
1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4173587586311297,-0.00187701236997247
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4135119879529396,-0.0019960401661213044
1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.40966521727474947,-0.0021238360284114785
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4061091271412262,-0.0022504126596603943
1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.40291689681882026,-0.0023714780916868714
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4000624337485787,-0.002486116018874242
1.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.39749814871905276,-0.0025945651145011348
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39517853773759015,-0.002697377790990107
1.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.39306525578627705,-0.002795144210935662
1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3911271019934389,-0.002888408039859754
1.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3893388593833779,-0.0029776464188202225
1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38768007307412866,-0.0030632711417625243
1.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.38613402449626144,-0.003145636127582805
1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3846869261295426,-0.003225045972715068
1,8.5,2.4726122678699123,0.2281583074251703,33.57590100067888,False,0.11487511463304931,0.08678353691216116,0.38332730294875145,-0.003301763846736444
1,9.0,3.499477028765525,0.3973922822302186,33.01142961041986,True,0.14297879639636862,0.18712676201782386,0.3820359971639761,-0.003376577031946278
1,9.5,3.764683410369736,0.4508473133657722,32.97157378162392,True,0.15324131887089754,0.2600151388987529,0.38080622100100164,-0.003449644043429649
1,10.0,4.4621900095456395,0.5238573716394888,32.88972658827046,False,0.1727005039910759,0.18283644658006132,0.3796353414485216,-0.003520907119203278
1,10.5,5.245708179651057,0.7241901423419421,32.4406735833289,False,0.19379075632435414,0.3510366441886461,0.37852131798850663,-0.003590286476530125
1,11.0,5.9148107157634335,0.8406013370174183,32.072815302952606,False,0.2018041719379691,0.29191069224937505,0.3774477009236259,-0.003658641822687358
1,11.5,6.5684569311220375,1.0320375211091066,31.806174041140437,False,0.21460502469634807,0.40063991599786297,0.3764193884929586,-0.0037255202064055393
1,12.0,6.610394260248764,1.0256590984269085,31.841897407979157,False,0.2166536808245585,0.3738895354250239,0.3754250850380687,-0.0037915276936403668
1,12.5,6.774165045422019,0.9715364590694227,31.72072781588844,False,0.21902249988171704,0.23131909419111,0.37447138728149104,-0.003856106846413351
1,13.0,6.877138265295648,1.0111870785396122,31.711647602311544,False,0.22242097733561306,0.26100677416878487,0.3735601606603283,-0.003918995047663424
1,13.5,6.483843772652454,0.8883950099893534,31.859809916815223,False,0.21586406361576155,0.19356132858661593,0.37268062377738914,-0.003980817905080713
1,14.0,5.266244151945327,0.6761159796063595,32.26531386765734,False,0.17694001197739556,0.09792564355606494,0.3718381802298691,-0.004041087817441126
1,14.5,2.5958051749926057,0.3353403074832633,16.086532170232573,False,0.08554937498226703,0.06736728215885066,0.37103419666196036,-0.004099587287862205
1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.04094431168639698,0.37026861897666974,-0.0041561996525607695
1.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.36953937775018536,-0.004210963026771755
1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.368835160727492,-0.004264636589121676
1.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3681532649144048,-0.004317360331148653
1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3674923552924647,-0.004369178373415451
1.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.36685121202420595,-0.004420131597979403
1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36622871764762926,-0.0044702579676279865
1.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3656238459944082,-0.004519592806148847
1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36503565256177833,-0.004568169045242821
1.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3644632661159787,-0.004616017442767083
1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36390588134358737,-0.004663166776243142
1.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3633627523981683,-0.0047096440149464545
1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3628331872148685,-0.004755474473385161
1.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.36231654248619016,-0.004800681948553641
1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36181221920903933,-0.004845288842995762
1.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3613196587270621,-0.004889316275419336
1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3608383392037807,-0.004932784180358163
1.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.36036777247160845,-0.004975711398170737
1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35990750120980075,-0.005018115756490371
2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3594570964110834,-0.005060014144093248
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3590161551023205,-0.005101422578025109
2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3585842982893277,-0.005142356264719661
2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35816116909995305,-0.005182829655750022
2.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3577464311029598,-0.005222856498775337
2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3573397667831557,-0.005262449884176773
2.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.356940876155699,-0.005301622287818437
2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3565494755046443,-0.005340385610317765
2.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3561652962326252,-0.005378751213165935
2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35578808381015353,-0.005416729952000391
2.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3554175968143797,-0.005454332207297857
2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3550536060483462,-0.005491567912727321
2.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35469589373279553,-0.005528446581376333
2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35434425276349096,-0.005564977330041633
2.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3539984860277912,-0.005601168901755236
2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.024784366211568012,0.3536584057749075,-0.00563702968669949
2,8.5,2.068248419454924,0.1386441323519439,33.77961446480595,True,0.10216710381098962,0.09080537254607667,0.3533230836891594,-0.005672647625383285
2,9.0,2.7693605352143686,0.19950996364969878,33.23427086740462,True,0.12520460692696028,0.08562705304759935,0.3529869104191615,-0.005708616161171056
2,9.5,3.8108962480076727,0.32037993639509776,32.67169055831023,False,0.1517166385562353,0.11988051340004101,0.3526542272674015,-0.0057444698551391
2,10.0,4.926815931174009,0.5103192760579248,32.355995124474774,False,0.1848436395158739,0.22777967063915713,0.3523218721367947,-0.005780547156003692
2,10.5,6.789518840602627,0.8264488810499633,31.39758710726641,False,0.2130189496718677,0.29029667227729555,0.35198538126376555,-0.005817339241868258
2,11.0,6.882502409893602,0.8480453736823595,31.60521498602244,False,0.2218494972864289,0.33350936136000126,0.3516421690835512,-0.005855144089334673
2,11.5,6.901878512318044,0.7879932237366896,31.612480182094366,False,0.2204579294352286,0.26000226894075207,0.35130158808474626,-0.00589293881788039
2,12.0,6.977421837502273,0.7791469342901609,31.551224480988942,False,0.22073705254743864,0.2385086481350659,0.3509695053521269,-0.005930061012702966
2,12.5,7.017291280972682,0.7775929960976178,31.58708653354506,False,0.22261645288833679,0.23370617589598974,0.3506426750199495,-0.005966859018176224
2,13.0,7.020969486264216,0.8635370798242602,31.043513124724363,False,0.20053222539668106,0.22161078857387723,0.35032025202898376,-0.006003418472677782
2,13.5,6.981937856325464,0.8726184516608231,30.747332387181352,False,0.1929335346906434,0.19633083953402014,0.3499996963465474,-0.006040021929262725
2,14.0,6.826696944930795,0.8938639482479462,30.647843372783072,False,0.18592592843914202,0.20176639061471716,0.34968362006131914,-0.006076365544830227
2,14.5,6.537951711572575,0.8084677079245609,30.803195681072197,False,0.1801554448809195,0.15185513538864334,0.3493706206337189,-0.006112603547238865
2,15.0,5.991312745751797,0.7157325932805714,30.637172425901362,False,0.16144310760167263,0.09919546958922912,0.34906549377288515,-0.006148169649863143
2,15.5,2.5810746681935313,0.2556513168513453,15.83394623009618,False,0.07700482263280191,0.04796085416647833,0.3487684464396828,-0.006183022907320872
