doy,hod,A(std),E(std),Ci(std),Rublim(std),gs(std),Es(std),sw(std),Ps(std)
[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[Pa],[-],[mol m-2 s-1],[mmol m-2 s-1],[m3 m-3],[MPa]
1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.40790129999999997,-0.001119608433
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38105257567067363,-0.0015977285743201965
1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3542038513525263,-0.002340067652419021
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34933065010716646,-0.002515656663653455
1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3444699967590272,-0.0027066565185851306
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3396093434108879,-0.002915188105313467
1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.33474869006274866,-0.0031431470677093522
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3298880367146093,-0.00339266592443585
1.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.32502738336647,-0.003666147777384324
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32016673001833074,-0.003966305419960351
1.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3165982716752362,-0.004205412364368687
1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31402527664483465,-0.004388514721861894
1.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3119041544140251,-0.004546637866448762
1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31006057739353554,-0.004689611041524099
1.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.30841230951431353,-0.004821993587471296
1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30691268917663395,-0.004946322083807838
1.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3055320277258919,-0.005064178600454685
1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3042498878623576,-0.005176632685265889
1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3030513734765468,-0.005284452308513941
1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3019251519253994,-0.005388215168287228
1.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3008623131555487,-0.005488372056478304
1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.004313810796869429,0.29985566892885224,-0.005585285181065137
1.0,11.5,0.0,0.0,0.0,0.0,0.0,0.004558239327993898,0.2988987499801066,-0.005679307078123078
1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.014805736162036384,0.29798711824306207,-0.005770638350718897
1.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2971152913292767,-0.005859623331662316
1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.030306544170696267,0.29628284881040373,-0.005946118268826021
1.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2954809092172942,-0.006030886152856527
1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29471445773551214,-0.006113251773321722
1.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2939772203196441,-0.00619374557495293
1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29326705935848035,-0.006272479924033765
1.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.29258206974910433,-0.006349555935147892
1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29192054507242454,-0.006425065083062447
1.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.29128094995887416,-0.0064990905128426485
1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2906618972806233,-0.006571708117269596
1.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2900621291557187,-0.006642987432244008
1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2894805009977447,-0.006712992387963936
1.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.288915968024063,-0.00678178194446776
1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2883675737675025,-0.006849410633468899
1.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2878344402345634,-0.006915929023507399
1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2873157594273051,-0.006981384121790445
1.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.28681078600268867,-0.007045819723335311
1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2863188308868495,-0.0071092767159212766
1.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2858392556958644,-0.007171793347729988
1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2853714678414178,-0.007233405463283797
1.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.28491491622108367,-0.007294146712291868
1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2844690874099963,-0.00735404873521899
1.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2840335022844443,-0.00741314132875509
1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28360771301908344,-0.007471452593849601
2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2831913004085954,-0.007529009068556485
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28278387147211886,-0.007585835847592909
2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2823850573049787,-0.007641956690233228
2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28199451114739427,-0.007697394117925092
2.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2816119066441477,-0.007752169502820331
2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28123693627280233,-0.007806303148249562
2.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2808693099211055,-0.00785981436203181
2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2805087535967785,-0.007912721523394449
2.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2801550082550836,-0.007965042144179825
2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2798078287314225,-0.008016792924930205
2.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2794669827678102,-0.008067989806371322
2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2791322501234402,-0.008118648016751728
2.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.27880342176073164,-0.008168782115442535
2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.278480299099268,-0.008218406033155084
2.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.278162693330918,-0.008267533109094286
2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2778504247901922,-0.008316176125330215
2.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2775433223745598,-0.00836434733863992
2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2772412230100277,-0.008412058510044583
2.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2769439711577948,-0.00845932093224392
2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2766514183582432,-0.008506145455128457
