doy,hod,A(std),E(std),Ci(std),Rublim(std),gs(std),Es(std),sw(std),Ps(std)
[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[Pa],[-],[mol m-2 s-1],[mmol m-2 s-1],[m3 m-3],[MPa]
1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.42206520000000003,-0.0015114855599999998
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41911915114754245,-0.0015899237749520383
1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.416173102307542,-0.0016730294935425175
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41322705346754157,-0.0017611164970172822
1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.41028100462754113,-0.0018545221189698183
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4074686111861124,-0.0019489854169077996
1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.40485812408003535,-0.0020415961249557464
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4024615869912673,-0.0021310492475137698
1.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.40026587797840346,-0.0022169408065771203
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3982500400181355,-0.002299280790792765
1.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3963924943655602,-0.0023782494044099875
1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39467357462955477,-0.0024540854339853238
1.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3930761687655158,-0.0025270369732419413
1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3915856565025733,-0.002597340664632373
1.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3901896195721498,-0.0026652139182712724
1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38887750938772625,-0.0027308529915416775
1.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3876403386089155,-0.0027944336353234217
1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3864704159850667,-0.0028561127690359994
1,9.5,1.5490363543326238,0.1621048367856463,16.38181868885657,False,0.05816808102910271,0.008651554813854717,0.38536112584163157,-0.0029160304685545827
1,10.0,5.076239727464179,0.5200476179834869,16.28619578427077,False,0.18238502585736366,0.1299051482825871,0.38430267594250445,-0.0029745395470109335
1,10.5,6.284797631484874,0.7621832733031244,32.384630649161224,False,0.2166212686423475,0.3943518906581933,0.3832827387143124,-0.0030321872800183705
1,11.0,5.8240044784227845,0.6298137196455906,16.203282820407637,False,0.20169746840880026,0.16718253697150945,0.38229631528677915,-0.0030891536182667376
1,11.5,5.94015375052123,0.6791180634444569,32.43332020544291,False,0.2069252000106621,0.19567950743884963,0.38136024038244876,-0.003144341498310933
1,12.0,6.238543040665679,0.7248655641923106,32.58094550329802,True,0.22457948275231246,0.38793711540665615,0.3804607189289084,-0.0031984341575712087
1,12.5,5.878660715766605,0.6777907107203245,32.41468474013968,False,0.20395081895781778,0.18455542616860462,0.3795909466145861,-0.00325174743799052
1,13.0,5.828830880331045,0.6525781911266113,32.5053791036948,False,0.20630257393455148,0.16394348491746324,0.3787599136338937,-0.003303633151286485
1,13.5,2.222320511436979,0.24160198016467524,16.37695872676471,True,0.08325963814788057,0.09979250074149082,0.37796036716163517,-0.003354444370488311
1,14.0,6.054892163820229,0.6713529031576229,32.52154927365456,False,0.21507744607061433,0.16317927094884316,0.37720041406622196,-0.0034035656181219598
1,14.5,6.091037745611342,0.7113970737524842,32.4508895811054,False,0.21300071938178658,0.2711830223769882,0.3764550511609815,-0.0034525407851978486
1,15.0,5.551066181291317,0.6673147497501876,32.24004180232608,False,0.18551948191789944,0.1622038398574857,0.37573077560030055,-0.003500900340570771
1,15.5,2.8340012789280173,0.31766425001455356,16.169182244959245,False,0.09671147040699717,0.02376500928737644,0.37503319859174694,-0.003548207535298536
1,16.0,3.77488399836073,0.41147213539077293,16.179993721148424,False,0.12941979692752945,0.05468331032206963,0.3743688832348527,-0.003593936660167314
1.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.37372191934116933,-0.0036391173226801737
1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3731052089375842,-0.0036827881031545107
1.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.37250655043939906,-0.003725752129235085
1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3719249458693939,-0.0037680395175376936
1.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.37135947680825815,-0.003809678361368897
1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37080929622894154,-0.0038506949125738086
1.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.37027362134440706,-0.0038911137432563773
1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36975172732267625,-0.003930957889979327
1.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3692429417468573,-0.003970248982669675
1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3687466397173559,-0.004009007360135523
1.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3682622395095297,-0.004047252173830595
1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36778919871332816,-0.004085001481275309
1.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.36732701079247565,-0.004122272330351222
1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3668752020099435,-0.004159080835522134
1.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.36643332867413425,-0.0041954422468964475
1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36600097466665116,-0.00423137101292681
2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3660104842986473,-0.004230577001260956
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.365588089874984,-0.004266009193554381
2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.36517457522038993,-0.004301024129696447
2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36476957162935963,-0.004335635873989062
2.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.36437273385980745,-0.004369857654847189
2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3639837380730656,-0.0044037019389132435
2.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.36360228000752554,-0.004437180496393621
2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3632280733534138,-0.004470304458897108
2.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.36286084830151033,-0.004503084370837935
2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3625003502429495,-0.004535530235290088
2.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.36214633860078577,-0.0045676515550366744
2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3617985857769235,-0.004599457369440833
2.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.36145687620042416,-0.004630956287668662
2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3611210054652087,-0.004662156518715094
2.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3607907795468492,-0.0046930658986178335
2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3604660140895539,-0.004723691915189197
2.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.36014653375563205,-0.0047540417305500645
2,9.0,1.46096063288332,0.17124099636691947,16.226325882404154,True,0.05110890218830499,0.038289089321511115,0.35983217163073045,-0.004784122201711209
2,9.5,5.723959915211976,0.6746113032366323,32.29946500462272,False,0.19371602589361991,0.1569820232200118,0.3595177727853055,-0.004814423095007935
2,10.0,5.916788843514311,0.7111004091917038,32.23784103361962,False,0.1976507378307189,0.1650441287664981,0.3591933494003347,-0.00484591939223617
2,10.5,2.403531015109184,0.2980897676263683,16.117820878666077,True,0.0802530557966676,0.089926038764433,0.35887252654341,-0.004877297025819618
2,11.0,6.7309593421648115,0.8702062889203132,32.13282111059536,False,0.21999657385345345,0.35852252661477746,0.358567866831461,-0.004907308122890267
2,11.5,6.90089796731448,0.9209404205942087,31.923614879851726,False,0.2162555701729923,0.27167732918399184,0.35824755412191084,-0.004939088083878677
2,12.0,6.432954067531784,0.8441557715671445,31.935660432060928,False,0.20207095363730523,0.1860408853198155,0.3579323684204846,-0.004970588268687272
2,12.5,6.483844091734749,0.9025611675528,31.767851474939583,False,0.19713727893078964,0.24926125402737287,0.3576252003935064,-0.0050015073940102295
2,13.0,6.84342101884814,1.0511926910806566,31.44404669179565,False,0.20008555640652748,0.4495816935759151,0.3573191615359582,-0.005032530795903268
2,13.5,7.318584705401183,1.1495760162529023,31.40820716245259,False,0.21240761591655724,0.5472486728811271,0.3570087205655575,-0.00506422446803416
2,14.0,7.540227302965842,1.18261960418366,31.34569043199128,False,0.21613171519326502,0.4763783046726605,0.35669741664290433,-0.00509623462357117
2,14.5,7.36363951197189,1.121921506487497,31.40699264272157,False,0.21273265394654256,0.3985430550175909,0.35639072395074056,-0.005127996063544174
2,15.0,7.182393313798393,1.0639964660589787,31.443416291665095,False,0.20808107255197958,0.3129405174382582,0.35609094551178067,-0.005159259420759306
2,15.5,6.963976032324401,1.0066129429739012,31.47912334080123,False,0.20066215628075246,0.22194741918176672,0.3557981061007788,-0.005190008796270681
2,16.0,6.1034040799314555,0.817686282006868,31.662620258054847,False,0.18191153912137153,0.128053685500899,0.35551223068185267,-0.005220228334242025
2.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.355236437651356,-0.005249572057565124
2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35498644931252926,-0.005276332562279928
2.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35473963530086056,-0.005302905725038341
2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3544959178043894,-0.005329295106264655
2.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35425522183460184,-0.005355504155190357
2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3540174750904699,-0.005381536214744319
2.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3537826078306819,-0.005407394526162017
2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35355055275347014,-0.005433082233333679
2.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3533212448834907,-0.005458602386909978
2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3530946214652563,-0.005483957948182081
2.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35287062186266493,-0.005509151792751524
2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3526491874642073,-0.005534186714003892
2.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35243026159346164,-0.005559065426399749
2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3522137894245273,-0.005583790568594242
2.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3519997179020649,-0.005608364706396894
2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3517879956656437,-0.005632790335581541
3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3515785729781178,-0.005657069884555771
3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3513714016577715,-0.005681205716898769
3.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35116643501399863,-0.005705200133775349
3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3509636277862932,-0.005729055376233836
3.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35076293608634673,-0.005752773627394629
3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3505643173430637,-0.00577635701453589
3.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35036773025031853,-0.005799807611082285
3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35017313471728945,-0.005823127438502418
3.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3499804918212183,-0.0058463184681200615
3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34978976376245324,-0.005869382622844031
3.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3496009138216431,-0.005892321778821189
3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3494139063189594,-0.005915137767016845
3.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3492287065752316,-0.005937832374726403
3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3490452808748877,-0.005960407347021993
3.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3488635964306013,-0.005982864388137372
3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34868362134954783,-0.006005205162794698
3.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.34850532460118727,-0.006027431297475645
3,9.0,1.0000673793957227,0.1330340469890975,16.008018380402557,True,0.031920572771055526,0.026990638619228246,0.34832867598648526,-0.006049544381640244
3,9.5,4.242517572989522,0.5609011226195374,31.94069196672549,True,0.13339783510248288,0.09943028490410918,0.34814983058810195,-0.0060720266005706855
3,10.0,4.801623186632789,0.6714645701879601,31.792849732141228,True,0.14669125351799828,0.17276462069334464,0.34796064632828466,-0.006095912081797924
3,10.5,5.334779118798801,0.7896446902879438,31.620561778640585,True,0.15775959202260142,0.23633378935202587,0.34776863957192267,-0.006120263352192863
3,11.0,5.671611854595055,0.8664035148568692,31.467952006775306,True,0.16583646673096536,0.28663768610148227,0.34757383439171363,-0.0061450827745855195
3,11.5,6.042784301892256,0.9662436198470106,31.315563919001484,True,0.17197003119051782,0.3228188451738786,0.34737750823934627,-0.006170211975381215
3,12.0,6.344905253608644,1.0286532803543051,31.273588530286144,True,0.1796428689360241,0.3366462438830876,0.34717942172865635,-0.006195685132794995
3,12.5,6.424889338592653,1.0307405735599686,31.335487218637574,True,0.1838950738464552,0.3322080422160246,0.3469809751795935,-0.006221324708761848
3,13.0,6.675210941730678,1.0779399767254227,31.2931545885223,True,0.1895036694564191,0.3171202334870496,0.3467840178851811,-0.006246891375560894
3,13.5,6.635862851349748,1.0512827692442765,31.34956093853838,True,0.19010494402996758,0.2802332641689023,0.34658770424757,-0.006272493584934346
3,14.0,6.4709268533245545,0.9950725957927681,31.44332103682481,True,0.1882408134458542,0.24060933747086996,0.3463942917092518,-0.0062978343313712035
3,14.5,6.623657676509173,1.0266823555937312,31.328511326077518,True,0.18853029586979037,0.2015495884734384,0.3462045274293795,-0.006322810418822791
3,15.0,6.344916921559474,0.9711716697889753,31.32327520312676,False,0.1795605635539591,0.1530037849233345,0.3460162818477873,-0.006347698094472226
3,15.5,5.9669566711154935,0.8946263234132392,31.378926698783626,False,0.16886898158598188,0.10504814862442143,0.34583183672851225,-0.0063721915421442055
3,16.0,5.3639840816089555,0.7650222861195567,31.461058997678585,False,0.1540554123477157,0.05800451471942103,0.3456516583964524,-0.006396222323510023
3.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3454769695622261,-0.006419619509630776
3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3453231618973819,-0.006440300635217686
3.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.345170592021443,-0.0064608902954446665
3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3450192407034439,-0.006481389583642364
3.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.34486908915352443,-0.00650179957190008
3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3447201190095788,-0.006522121311636769
3.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.34457231232440544,-0.0065423558341524924
3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3444256515533368,-0.0065625041511609234
3.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3442801195423258,-0.006582567255303924
3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3441356995164694,-0.006602546120648899
3.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3439923750689515,-0.0066224417031694564
3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3438501301503848,-0.006642254941210252
3.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.34370894905853594,-0.006661986755936609
3.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3435688164284167,-0.0066816380517694144
3.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.34342971722272664,-0.00670120971680596
3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34329163672263086,-0.006720702623227352
