doy,hod,A(std),E(std),Ci(std),Rublim(std),gs(std),Es(std),sw(std),Ps(std)
[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[Pa],[-],[mol m-2 s-1],[mmol m-2 s-1],[m3 m-3],[MPa]
1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4250523,-0.001662621363
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42120552930931987,-0.0017660784029911983
1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4173587586311297,-0.00187701236997247
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4135119879529396,-0.0019960401661213044
1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.40966521727474947,-0.0021238360284114785
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4061091271412262,-0.0022504126596603943
1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.40291689681882026,-0.0023714780916868714
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4000624337485787,-0.002486116018874242
1.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.39749814871905276,-0.0025945651145011348
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3956849852000066,-0.00267453626012292
1.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.39353466086791905,-0.002773080716616409
1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3915675716500254,-0.0028669022084310022
1.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.389755805409534,-0.0029565593469168677
1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38807733892345175,-0.003042509546531568
1.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.38651447366372477,-0.00312513395456807
1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38505277254677367,-0.0032047543465267307
1.0,8.5,0.0,0.0,0.0,0.0,0.0,0.053250742863401174,0.38368030851134766,-0.0032816452699889693
1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.17419548042127256,0.3823855085011474,-0.003356136928644924
1,9.5,2.3757079608202267,0.17348376947578073,16.719596969582536,False,0.10613557839330648,0.0994370844588486,0.3811579214387381,-0.0034285636754110877
1,10.0,3.4241162971520245,0.2594338512829321,16.691132299192493,False,0.15056636557259925,0.2672894981653171,0.3799910671110533,-0.003499079021721296
1,10.5,7.2665472704807375,0.6462934088006707,33.06880782894993,False,0.2940492586734049,0.8877965269616697,0.3788741222224945,-0.0035681456659319524
1,11.0,7.839536539819547,0.8683529196316905,32.51471350268402,False,0.29744646943966946,1.5293652280579626,0.3777790032227881,-0.003637389887634489
1,11.5,8.003876771932495,0.945515538189477,32.250313612352755,False,0.2863079124925699,1.5832499199107706,0.37670544725735355,-0.0037067756040825212
1,12.0,8.12531246070403,1.0142289569532665,32.00726466626137,False,0.2760546571870205,1.5824694428604957,0.37567157178407723,-0.003775039926545934
1,12.5,8.175281111621505,1.0665378968999084,31.794308751996212,False,0.2653003347557106,1.5185216198065006,0.3746757384026226,-0.003842163453857095
1,13.0,8.142742695991279,1.1025790372651143,31.574991502017014,False,0.25368590039260985,1.3911237149407927,0.3737172172285487,-0.003908072123726716
1,13.5,8.018121656757364,1.0836516653123938,31.526713288201165,False,0.2479023383214437,1.2193537223427855,0.3727956330482744,-0.00397267044219963
1,14.0,7.802417794998468,1.0448411049620252,31.504013659928482,False,0.2392772951910126,1.0200236662997322,0.3719115042447579,-0.004035800573854417
1,14.5,7.420664622850081,0.9785346625109177,31.45666125024364,False,0.2259223949483003,0.796974355431181,0.3710640390175661,-0.004097398560169248
1,15.0,6.771319160436092,0.8721113433087788,31.418939410727816,False,0.20461208473332665,0.5632617102296692,0.3702527839804322,-0.004157380066332094
1,15.5,5.643579199770368,0.7025706412107514,31.65514712173518,False,0.1679713162577314,0.3265750118387813,0.3694774679752411,-0.0042156503377399615
1,16.0,1.809842987905072,0.22857109821217658,15.808068769833136,False,0.053476527092385005,0.10494931939561487,0.36873845367143987,-0.004272068642577153
1.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.36804300544084523,-0.004325955777101019
1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36737882211786904,-0.004378151685824428
1.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3667345839722301,-0.0044294736375803615
1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36610915924626514,-0.0044799601159498225
1.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.36550150897914524,-0.0045296469202503594
1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.364910677182881,-0.004578567417762989
1.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.36433578228035923,-0.004626752766496327
1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3637760096162376,-0.004674232112566587
1.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3632306048837347,-0.0047210327656235325
1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36269886833645215,-0.004767180355220066
1.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3621801496756264,-0.00481269897058337
1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3616738435206233,-0.004857611285880719
1.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3611793853848071,-0.00490193867276971
1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3606962480907604,-0.004945701301767925
1.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.36022393856866025,-0.004988918233763884
1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3597619949898083,-0.005031607502810911
2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35930998419417526,-0.005073786191193094
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35886749937657925,-0.005115470497623049
2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35843415800098133,-0.005156675799320762
2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35800959991648995,-0.005197416708628563
2.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35759348565216326,-0.005237707124736019
2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35718549487066925,-0.005277560281019088
2.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35678532496340704,-0.005316988788437796
2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3563926897718733,-0.005356004675384406
2.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3560073184219279,-0.005394619424329219
2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35562895425922997,-0.005432844005571679
2.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35525735387550855,-0.005470688908370316
2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35489228621654306,-0.005508164169695139
2.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3545335317637777,-0.00554527940081974
2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3541808817824093,-0.00558204381194753
2.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3538341376295854,-0.005618466235046155
2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35349311011704865,-0.005654555145046253
2,8.5,4.236115116979337,0.2670704532335038,33.886274568066696,False,0.21642314228966622,0.18643632499051663,0.3531576189231756,-0.0056903186795449956
2,9.0,5.6424669454706615,0.3972520066538906,33.601380976190924,False,0.28248700714821023,0.332798864800371,0.35281378044815054,-0.0057272423684479575
2,9.5,6.714025473864448,0.5312425272229944,33.479170063457474,False,0.3286020359628473,0.5194558582834772,0.352466780913433,-0.005764785283104971
2,10.0,7.368562846990069,0.641835175375837,33.384793729136206,False,0.3527595855537253,0.6862678562528456,0.3521151300486972,-0.005803120616934248
2,10.5,7.337646666409636,0.594892960117855,33.11163402063094,False,0.3245708569890145,0.5077238892366024,0.35175998539007014,-0.005842134840038751
2,11.0,3.748072905192992,0.29591702958242944,16.559418613837572,False,0.1536251901189767,0.16167109208672856,0.35141640827695286,-0.00588016578925077
2.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35109694619937637,-0.005915783186348934
2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.01543950728481622,0.3507958005550382,-0.005949585917518305
2.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35049854361498367,-0.005983170284664235
2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35020598825888033,-0.00601643661643722
2.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.34991755185057744,-0.006049443094607914
2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3496331232070205,-0.006082195139883354
2.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.34935259554666276,-0.006114697990844712
2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34962567382014625,-0.00608305567681353
2.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3493460796988995,-0.006115455309691438
2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34907034229863154,-0.006147602638918782
2.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.34879835505261353,-0.00617950338648075
2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34853001598602396,-0.00621116304068203
