doy,hod,A(std),E(std),Ci(std),Rublim(std),gs(std),Es(std),sw(std),Ps(std)
[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[Pa],[-],[mol m-2 s-1],[mmol m-2 s-1],[m3 m-3],[MPa]
1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.243964972623,-0.0206140350593
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.254227796185,-0.0162066143615
1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.257641073458,-0.0149926829265
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257632858975,-0.0149954738068
1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.264131112526,-0.0129659712524
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275005731373,-0.0102450483247
1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.274932129339,-0.010261070037
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27485906696,-0.0102770033102
1.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.274786531578,-0.010292850331
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.274714510942,-0.0103086132188
1.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.274642993194,-0.0103242940282
1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.274571966849,-0.0103398947521
1.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.274501420782,-0.0103554173238
1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.274431344212,-0.0103708636194
1.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.27436172669,-0.0103862354605
1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.274292558081,-0.0104015346159
1.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.274223828556,-0.0104167628039
1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.274155528578,-0.0104319216942
1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.00987820136989,0.27408764889,-0.0104470129098
1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0398295078727,0.274018891133,-0.0104623254165
1,10.5,2.3801213787836524,0.12915020521524534,15.455044947208265,False,0.06217337988833892,0.08229739206346674,0.2739466264971039,-0.01047844725510362
1,11.0,2.6042301400912615,0.1466266987848619,15.374615418985389,False,0.06627689509511635,0.10998460282686952,0.2738523551596134,-0.0104995224267667
1,11.5,2.717332602437027,0.1662781094107174,15.1865737436411,False,0.06523065642313769,0.11954761696946693,0.27375257459779695,-0.010521883340855395
1,12.0,3.192308782452641,0.20227362360206624,15.109653891817388,False,0.07489401560737602,0.19105264981552467,0.2736493586167344,-0.010545072852401596
1,12.5,3.4168929627706177,0.2125761666223574,15.155758567161486,False,0.08126808236039804,0.2331223992755505,0.27353248097698835,-0.01057140403480163
1,13.0,2.5259736932652666,0.14215449127246482,15.374615421267812,False,0.06428529142040378,0.0953492087975293,0.27613540731194947,-0.010002778839062565
1.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0534069923069,0.278753511513,-0.00946664076292
1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.278659193493,-0.00948536146512
1.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.281295551178,-0.00897801373156
1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.281195723442,-0.00899663653634
1.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.281096871772,-0.00901512185619
1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.280998965631,-0.00903347422825
1.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.280901975783,-0.00905169800513
1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.280805874219,-0.00906979736503
1.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.280710634092,-0.00908777632124
1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.283338034194,-0.00860672282121
1.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.288666133018,-0.00771977079415
1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.293947635697,-0.00694443238174
1.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.304563349906,-0.00564533646288
1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.309616264045,-0.00512828516204
1.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.314130607903,-0.00471273358716
1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.316151146376,-0.00453959902365
1.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.317858297534,-0.0043991025796
1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.320050993656,-0.00422604960334
1.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.319540400768,-0.00426562376646
1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31905842251,-0.0043033789205
1.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.318600871727,-0.00433958321706
1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.318164371419,-0.00437445480834
2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.317746152327,-0.00440817419527
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.317343911272,-0.00444089289271
2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.316955717375,-0.00447273901132
2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.316579935941,-0.00450382193907
2.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.316215170525,-0.00453423593135
2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.318544870754,-0.00434403882563
2.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.326162787569,-0.00378421412464
2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.328255423409,-0.00364553445511
2.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.335560610637,-0.00320595390349
2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.342542516683,-0.00284280351515
2.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.345609509174,-0.00269865613687
2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34840215782,-0.0025748002325
2.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.347216300527,-0.00262656257514
2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.346116313624,-0.00267566940707
2.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.345075831442,-0.00272311218619
2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.344076806224,-0.0027695943916
2.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.343106172904,-0.00281564810376
2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.342154112739,-0.00286169432954
2.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.341213019396,-0.00290807934134
2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.340276862548,-0.00295509716245
2.0,10.5,0.0,0.0,0.0,0.0,0.0,0.00845906180559,0.344540397706,-0.00274790998929
2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0319657026603,0.345923645062,-0.00268438099951
2.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0311155997146,0.347151155802,-0.00262944126507
2,12.0,2.5149217296023845,0.14775058829794063,15.288364510189702,False,0.06228514549468167,0.09751887996714534,0.35073037601853796,-0.0024766089406684294
2.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0506735521204,0.353849715076,-0.00235184311319
2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0493346547019,0.356518299812,-0.00225091832372
2.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.356297102506,-0.00225908845158
2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.355847297624,-0.00227580979237
2.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35509548435,-0.00230408297216
2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.356248343609,-0.00226089407591
2.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.36236784339,-0.00204691201987
2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.368487343171,-0.00185627059987
2.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.371993754326,-0.00175642649872
2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36823624419,-0.00186367219697
2.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.365413198784,-0.00194931141083
2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.360581167891,-0.00210683566728
2.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.357804789105,-0.00220408090528
2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.352975515265,-0.00238605098452
2.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.348146241425,-0.00258586905835
2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.343316967585,-0.00280557073541
2.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.338487693745,-0.00304745725432
2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33639561331,-0.00315977569944
