doy,hod,A(std),E(std),Ci(std),Rublim(std),gs(std),Es(std),sw(std),Ps(std)
[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[Pa],[-],[mol m-2 s-1],[mmol m-2 s-1],[m3 m-3],[MPa]
1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4214145,-0.001503719964
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.413845065082,-0.00170281022968
1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.406275630176,-0.00193269080975
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39870619527,-0.0021988360884
1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.393423820986,-0.00240950515436
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.388141446701,-0.00264362587672
1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.383130221619,-0.00289011265142
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.379670664571,-0.00307566173959
1.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.376817552884,-0.00323900144842
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.374352556753,-0.00338816188153
1.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.372171269096,-0.00352674765865
1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.370210818779,-0.00365686786784
1.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.368428794721,-0.0037799367751
1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.366794630702,-0.00389698102171
1.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.365285320858,-0.00400878449384
1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.363883004668,-0.00411596687059
1.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.362573485337,-0.00421903061686
1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36134526438,-0.00431839117785
1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.361197911423,-0.00433049087661
1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.360059034562,-0.00442532984211
1.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35898426301,-0.00451701892709
1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.357966405015,-0.00460586462881
1.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.356999512153,-0.00469212066295
1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.356078586138,-0.00477600099933
1.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.355199372248,-0.0048576888507
1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.354358209254,-0.00493734307447
1.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35355191753,-0.00501510286199
1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35482883424,-0.00489259423155
1.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.356062951531,-0.00477743979876
1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.355213324009,-0.00485638015314
1.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.354403641689,-0.00493300279355
1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353629625457,-0.00500754782266
1.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.352887754657,-0.00508021069552
1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.352175084778,-0.0051511532973
1.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.351489118139,-0.00522051176572
1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35082771001,-0.0052884021372
1.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35018899903,-0.00535492450185
1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349571354676,-0.00542016611495
1.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.350007967024,-0.00537395318786
1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349401124486,-0.00543830725993
1.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.348813791224,-0.00550143462202
1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.348244620572,-0.00556341212781
1.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.347692419414,-0.00562430753661
1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.351298407275,-0.00523998432307
1.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35479608757,-0.00489569282626
1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.354073820157,-0.0049646111447
1.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.353384750648,-0.00503139972716
1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353756748789,-0.00499521654122
2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.353093946481,-0.00505989462538
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.352457594134,-0.00512289601186
2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.351845013561,-0.00518439432443
2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.351253966394,-0.00524453391264
2.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.350682560512,-0.00530343606181
2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.350129180063,-0.00536120365642
2.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.349592432303,-0.00541792473551
2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.350109347246,-0.00536328735503
2.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.351652535668,-0.00520389193922
2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.352122814831,-0.0051564010223
2.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.352585136703,-0.00511019710785
2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.352004462286,-0.00516830586845
2.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.351443249883,-0.00522518756638
2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.351936958878,-0.0051751100034
2.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.351384744472,-0.00523115856134
2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.350849474862,-0.00528615204542
2.0,8.5,0.0,0.0,0.0,0.0,0.0,0.129062042577,0.350329752545,-0.00534018291702
2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.110808212744,0.349816945599,-0.0053941159409
2.0,9.5,0.0,0.0,0.0,0.0,0.0,0.675224720654,0.349318480574,-0.005447139562
2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.475321882107,0.348799919919,-0.00550293564494
2.0,10.5,0.0,0.0,0.0,0.0,0.0,0.282571365708,0.348304429813,-0.00555686196891
2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.449546834977,0.347830887096,-0.00560896622027
2.0,11.5,0.0,0.0,0.0,0.0,0.0,0.492750596109,0.347357964622,-0.00566156166566
2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.41891579033,0.346892218929,-0.00571391196169
2.0,12.5,0.0,0.0,0.0,0.0,0.0,0.564085786241,0.346439877269,-0.00576528719951
2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.397344162103,0.345987884152,-0.00581715219633
2.0,13.5,0.0,0.0,0.0,0.0,0.0,0.274356022018,0.345553770986,-0.00586746939429
2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.230354047596,0.345134645035,-0.00591652314203
2.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.344725619179,-0.00596484834352
2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.344337099727,-0.0060111700082
2.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.343955544697,-0.00605706290796
2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34358068639,-0.00610254169066
2.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.343212276477,-0.00614761974637
2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.342850083801,-0.00619230936906
2.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.342493892506,-0.00623662189402
2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.342143500419,-0.00628056781525
2.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.341798717661,-0.00632415688576
2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34145936544,-0.00636739820378
