doy,hod,A(std),E(std),Ci(std),Rublim(std),gs(std),Es(std),sw(std),Ps(std)
[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[Pa],[-],[mol m-2 s-1],[mmol m-2 s-1],[m3 m-3],[MPa]
1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.33135432485,-0.00782454924285
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.331347216624,-0.00782570079691
1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.331338176436,-0.00782716561522
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.331329136248,-0.00782863074768
1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.33132009606,-0.00783009619439
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.331311055872,-0.00783156195541
1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.331302015683,-0.00783302803083
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.331292975495,-0.00783449442071
1.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.331283935307,-0.00783596112513
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.331274895119,-0.00783742814417
1.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.331265854931,-0.00783889547791
1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.331256814743,-0.00784036312641
1.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.331247774555,-0.00784183108977
1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.331238734367,-0.00784329936805
1.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.331229694178,-0.00784476796133
1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33122065399,-0.00784623686968
1.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.331211613802,-0.00784770609319
1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.331202573614,-0.00784917563192
1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.331193533426,-0.00785064548596
1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.331184493238,-0.00785211565538
1.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.33117545305,-0.00785358614026
1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.331166412862,-0.00785505694067
1.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.331091989996,-0.00786717722758
1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.330976922249,-0.00788595902065
1.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.330861911903,-0.0079047827992
1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.330746964332,-0.00792364776152
1.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.330632085034,-0.00794255307546
