doy,hod,A(std),E(std),Ci(std),Rublim(std),gs(std),Es(std),sw(std),Ps(std)
[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[Pa],[-],[mol m-2 s-1],[mmol m-2 s-1],[m3 m-3],[MPa]
1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.363632799318,-0.00413543395293
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.363625404437,-0.00413601091033
1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.364385539965,-0.00407718376397
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.362871175732,-0.00419534410712
1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.361369309468,-0.00431642042466
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.361987302839,-0.0042661210926
1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.360376821775,-0.00439862911481
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.358817368176,-0.00453145114428
1.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.359417941842,-0.00447976216549
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.357832982542,-0.00461765843755
1.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.356330662542,-0.00475287166441
1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.357017755731,-0.004690476124
1.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.355531763991,-0.00482661952362
1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.354134012421,-0.00495882536615
1.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.352813990719,-0.00508750133922
1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353695092964,-0.00500119296007
1.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.352389082352,-0.00512973238198
1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353292406717,-0.00504042822086
1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0208407890401,0.352011730038,-0.00516757391293
1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.207298635951,0.350805130852,-0.00529073757332
1.0,10.5,0.0,0.0,0.0,0.0,0.0,0.402344137619,0.349641409532,-0.00541272063253
1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.877673020999,0.350661369158,-0.00530563505976
1.0,11.5,0.0,0.0,0.0,0.0,0.0,0.519329218425,0.349418767513,-0.00543642384421
1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.601566668452,0.348281419775,-0.00555938092454
1.0,12.5,0.0,0.0,0.0,0.0,0.0,0.490765845381,0.347187330642,-0.00568067705458
1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.627386812307,0.34615423953,-0.00579800143922
1.0,13.5,0.0,0.0,0.0,0.0,0.0,0.603551346758,0.347313400278,-0.0056665468969
1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.216176937701,0.346253873148,-0.00578656625256
1.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.345289288804,-0.00589836941337
1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.344393281767,-0.00600444621916
1.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.34353503512,-0.00610810689986
1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.342711096015,-0.00620955730033
1.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.350578299313,-0.00531426518459
1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353715601499,-0.00499920411905
1.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.356679093923,-0.00472111223789
1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.355264855427,-0.00485154992362
1.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.356098184363,-0.00477419814276
1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.356899632812,-0.00470113584845
1.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.355545257869,-0.00482536304104
1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.356408850743,-0.00474572358281
1.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.355092342769,-0.00486774183877
1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35384981855,-0.00498621060052
1.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.354806692622,-0.00489468909622
1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353561928288,-0.00501412884827
1.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.352378773917,-0.00513076190186
1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353393471198,-0.00503054807432
1.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.352200406592,-0.00514861327358
1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.365718375366,-0.00397633396156
2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.365752757815,-0.00397377046788
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.367894447246,-0.00381775955828
2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.367837592566,-0.00382180937319
2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.367783197989,-0.00382568856053
2.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.367687380552,-0.0038325328262
2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.367537721479,-0.00384325110379
2.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.367341062296,-0.00385738769196
2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36711272089,-0.00387387652353
2.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.364845341883,-0.0040420650393
2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.362755938075,-0.00420449516992
2.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.360815625472,-0.00436206333117
2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.363129312583,-0.00417492806082
2.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.376726482876,-0.00324437656384
2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.377336465609,-0.00320856829368
2.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.376083915716,-0.00328259382074
2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.374905976504,-0.00335400027206
