doy,hod,A(std),E(std),Ci(std),Rublim(std),gs(std),Es(std),sw(std),Ps(std)
[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[Pa],[-],[mol m-2 s-1],[mmol m-2 s-1],[m3 m-3],[MPa]
1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.285349048962,-0.0254230728593
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.285346685296,-0.0254244563295
1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.285339285708,-0.0254287879204
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.285337710097,-0.0254297103653
1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.285330818743,-0.0254337453785
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.285330011878,-0.0254342178611
1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.285327262121,-0.0254358281339
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.285319973519,-0.0254400969483
1.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.285318527819,-0.0254409437692
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.285311728149,-0.0254449271211
1.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.285310967986,-0.0254453724808
1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.285308516599,-0.025446808747
1.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.285301098546,-0.0254511555468
1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.285299266154,-0.0254522294166
1.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.285292198095,-0.0254563721263
1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28529103566,-0.0254570535235
1.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.285285062749,-0.0254605550617
1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.285283633872,-0.025461392804
1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.285276844906,-0.0254653735683
1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.285276005965,-0.0254658655378
1.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.285273023689,-0.025467614485
1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.285265755099,-0.0254718777077
1.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.285264086222,-0.0254728566654
1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.285257126513,-0.0254769396726
1.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.28525600582,-0.0254775972126
1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.285250490045,-0.0254808337488
1.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.285247827009,-0.0254823965292
1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.285240426995,-0.0254867397467
1.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.285238358744,-0.0254879537972
1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28523113545,-0.0254921943492
1.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.285229488902,-0.0254931610958
1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.285222543825,-0.0254972392605
1.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.285221391243,-0.0254979161319
1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.285215507262,-0.0255013719128
1.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.285213661267,-0.0255024562144
1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.285206580721,-0.0255066156812
1.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.285205138879,-0.0255074627873
1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.285198338153,-0.0255114587625
1.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.285197328625,-0.0255120520035
1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.285192932191,-0.0255146357164
1.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.285186157979,-0.0255186174012
1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.285185154198,-0.0255192074552
1.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.285180808287,-0.0255217623006
1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28517400228,-0.0255257639629
1.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.285172921907,-0.0255263992457
1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.285167816007,-0.0255294018727
1.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.285162966174,-0.0255322542921
