doy,hod,A(std),E(std),Ci(std),Rublim(std),gs(std),Es(std),sw(std),Ps(std)
[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[Pa],[-],[mol m-2 s-1],[mmol m-2 s-1],[m3 m-3],[MPa]
1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4276597,-0.001781804034
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.413345978142,-0.00222835476006
1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.399032256295,-0.00280887230754
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.384718534448,-0.00357069772887
1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.379581708157,-0.00390034937369
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.374444881865,-0.00426556413987
1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.369308055574,-0.00467074784417
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.364171229283,-0.00512092470275
1.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.360952452957,-0.00542846662276
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.358447447848,-0.00568258606804
1.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.356323353795,-0.00590884649295
1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35445392521,-0.00611660214704
1.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.352773542125,-0.00631055898491
1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.351242089556,-0.00649352025218
1.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.349832482128,-0.00666734522833
1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.348525184099,-0.00683336134445
1.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.347305437687,-0.00699256755814
1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.346161710557,-0.0071457454035
1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.345084756278,-0.00729352456548
1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.344067010469,-0.00743642409764
1.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.343102183713,-0.00757487968116
1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.342184976364,-0.00770926242359
1.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.341310872375,-0.00783989228289
1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.340475986313,-0.0079670479377
1.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.339676947355,-0.00809097422629
1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.338910809668,-0.00821188787216
1.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.33817498207,-0.0083299819714
1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.337467172057,-0.00844542956479
1.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.336785340717,-0.00855838652034
1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.336127666027,-0.00866899388736
1.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.33549251269,-0.00877737983925
1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.334878407123,-0.00888366129213
1.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.334284016571,-0.00898794526461
1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333708131528,-0.00909033002901
1.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.333149650859,-0.00919090609251
1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33260756912,-0.00928975703881
1.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.332080965707,-0.00938696025403
1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.331568995507,-0.00948258755638
1.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.331070880821,-0.00957670574469
1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.330585904338,-0.00966937707864
1.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.330113403021,-0.00976065970092
1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.329652762738,-0.00985060800962
1.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.329203413555,-0.00993927298819
1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32876482558,-0.0100267024986
1.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.328336505289,-0.0101129415425
1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.327917992267,-0.0101980324953
1.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3275088563,-0.0102820153154
1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.327108694793,-0.0103649277331
2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.326717130446,-0.0104468054199
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.326333809181,-0.0105276821426
2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.325958398271,-0.0106075899021
2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.325590584657,-0.01068655906
2.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.325230073425,-0.0107646184527
2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.324876586434,-0.0108417954972
2.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.324529861064,-0.0109181162857
2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.324189649086,-0.0109936056738
2.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.323855715626,-0.0110682873603
2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.323527838228,-0.0111421839611
2.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.323205805991,-0.0112153170765
2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.322889418787,-0.0112877073541
2.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.322578486536,-0.0113593745459
2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.322887121361,-0.0112882349768
2.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.322577436776,-0.0113596173928
2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.322273126762,-0.0114302680779
2.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.321974002461,-0.0115002086867
2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.321679885449,-0.0115694597204
2.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.32139060693,-0.0116380406185
2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.321106007003,-0.0117059698414
2.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.320825934011,-0.0117732649436
2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.320550243941,-0.0118399426405
2.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.32027879989,-0.011906018868
