doy,hod,A(std),E(std),Ci(std),Rublim(std),gs(std),Es(std),sw(std),Ps(std)
[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[Pa],[-],[mol m-2 s-1],[mmol m-2 s-1],[m3 m-3],[MPa]
1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.283816223662,-0.00744282932462
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.283810381499,-0.00744362952575
1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.283801985141,-0.00744477975456
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.283793588782,-0.00744593019515
1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.283785192424,-0.00744708084756
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.283776796065,-0.00744823171184
1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.283768399707,-0.00744938278803
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.283760003349,-0.00745053407618
1.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.28375160699,-0.00745168557633
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.283743210632,-0.00745283728853
1.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.283734814274,-0.00745398921283
1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.283726417915,-0.00745514134927
1.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.283718021557,-0.00745629369789
1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.283709625199,-0.00745744625875
1.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.28370122884,-0.00745859903188
1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.283692832482,-0.00745975201733
1.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.283684436124,-0.00746090521515
1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.283676039765,-0.00746205862538
1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.283667643407,-0.00746321224807
1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.283577072483,-0.00747566981318
1.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.28340671051,-0.00749916942433
1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.283236482156,-0.00752273856799
1.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.283066402441,-0.00754637532801
1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.293943935202,-0.00619740944117
1.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.311165864069,-0.00460326155293
1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.319189135809,-0.00403016146879
1.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.32688252529,-0.00355877631466
1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.332100092917,-0.00327629131343
1.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.334983758202,-0.00313164467736
1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.339832336347,-0.00290521137734
1.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.340290371054,-0.00288484615797
1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34284680448,-0.00277425570453
1.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.345253447856,-0.00267473208668
1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.347489550975,-0.00258605175002
1.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.359357088998,-0.00217003436244
