doy,hod,A(std),E(std),Ci(std),Rublim(std),gs(std),Es(std),sw(std),Ps(std)
[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[Pa],[-],[mol m-2 s-1],[mmol m-2 s-1],[m3 m-3],[MPa]
1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.292599856269,-0.00634754034924
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.292593925477,-0.00634821234764
1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.292585657618,-0.00634914929288
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29257738976,-0.00635008640288
1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.292569121901,-0.00635102367769
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.293295738241,-0.00626927732242
1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.293287470382,-0.00627020040319
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.293279202523,-0.0062711236459
1.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.293270934664,-0.00627204705059
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.293123827002,-0.00628850404392
1.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.292808017354,-0.00632400790652
1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.292492584938,-0.0063597080186
1.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.292177591388,-0.00639559833898
1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.291863106214,-0.00643167173475
1.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.291549205426,-0.00646792010712
1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.291235970165,-0.00650433452239
1.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.290923485387,-0.0065409053434
1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.290611838617,-0.00657762235788
1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.290301118805,-0.00661447490114
1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.158504079635,0.289991415286,-0.00665145197139
1.0,10.5,0.0,0.0,0.0,0.0,0.0,0.44850076447,0.289662618239,-0.00669097858417
1.0,11.0,0.0,0.0,0.0,0.0,0.0,1.05815883554,0.289298058638,-0.00673513207176
1.0,11.5,0.0,0.0,0.0,0.0,0.0,0.689700022471,0.288857086532,-0.00678900503979
1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.255514606243,0.288464428886,-0.00683740811269
1.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0255066330485,0.288128541298,-0.00687913970638
1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.287823481672,-0.00691730436205
1.0,13.5,0.0,0.0,0.0,0.0,0.0,0.316451518157,0.287523263312,-0.00695510990057
1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.426495977312,0.287184379348,-0.00699808066459
1.0,14.5,0.0,0.0,0.0,0.0,0.0,0.249267511434,0.286833198644,-0.00704294483927
1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286506390832,-0.00708500347551
1.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.286213193408,-0.00712299150271
1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.285921894586,-0.00716097411079
1.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.285632543125,-0.00719894194543
1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.285345183475,-0.00723688603888
1.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.285059855804,-0.00727479782281
1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.284776596084,-0.00731266913619
1.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.284495436191,-0.00735049222859
1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28421640404,-0.00738825975988
1.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.283939523734,-0.00742596479677
1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.283664815726,-0.00746360080676
1.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.286027139771,-0.0071472233562
1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.290976628678,-0.00653466860454
