doy,hod,A(std),E(std),Ci(std),Rublim(std),gs(std),Es(std),sw(std),Ps(std)
[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[Pa],[-],[mol m-2 s-1],[mmol m-2 s-1],[m3 m-3],[MPa]
1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4200939,-0.00147848472
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4072918488485589,-0.0017982380368616179
1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3944897977089669,-0.0022008646404941246
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3821792711038753,-0.002689667911007675
1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3770272559283463,-0.002930816271336396
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37187524075281736,-0.00319736052383996
1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3667232255772885,-0.0034923842592907172
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3615712104017595,-0.003819396612715154
1.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3578215216192516,-0.004079778581538496
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.355045196603668,-0.004285855124212712
1.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3527281888358551,-0.0044671064407246245
1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3507049871942906,-0.004632665722257192
1.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3488951191143038,-0.004786814327893899
1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34725118074415023,-0.004931998798198844
1.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.34574188847882775,-0.005069798774264225
1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3443450135597508,-0.0052013218142907425
1.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3430439355630088,-0.0053273910886465015
1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3418257621908546,-0.005448644994517778
1,9.5,0.030000068950133497,0.002822806600876633,16.917359956831618,True,0.0015077381760333604,0.0,0.3406802136911096,-0.005565594678384394
1,10.0,0.09646392327594623,0.009941184882449697,16.86336432492749,True,0.0046881234011544835,0.0,0.3395986677363902,-0.005678685876197552
1,10.5,0.16494737068013365,0.018211760810002385,16.771811791969505,True,0.007591726280963387,0.0,0.33857380773159795,-0.0057883121477137955
1,11.0,0.24035068333577952,0.02810572721328509,16.686204408055588,True,0.010540063450411969,0.0,0.33759970289114694,-0.005894787064767842
1,11.5,0.3219365944234756,0.03952263003727807,16.60564460049812,True,0.01351746038836954,0.0,0.33667125506347656,-0.0059983879750523305
1,12.0,0.4094158851548955,0.052375957644737486,16.52943854277993,True,0.01652574070489367,0.0,0.3357840760531197,-0.006099358797937685
1,12.5,0.5037055596274377,0.0664876301583115,16.37695699631306,True,0.019668459836417126,0.0,0.3349343557604352,-0.006197916140810559
1,13.0,0.5990300240503608,0.07846869131098663,16.281040706448863,True,0.022666188657092485,0.0,0.334118769729017,-0.006294252904877487
1,13.5,0.6094988397149405,0.07817450044748359,16.40748313193834,True,0.023168085993861314,0.0,0.3333346835177664,-0.006388507437338594
1,14.0,0.6177924279417302,0.07731607299028416,16.426933353148243,True,0.02370366813595422,0.0,0.33258068575567246,-0.006480689975146926
1,14.5,0.6209689957233806,0.0755590818651594,16.446934721072704,True,0.024057660982364927,0.0,0.3318546115995477,-0.006570917482948272
1,15.0,0.6153382443437974,0.07247904198573646,16.466907278532542,True,0.024073706678077098,0.0,0.3311545637036649,-0.006659290977056085
1.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.33047888675477793,-0.006745895794005563
1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3298321027606454,-0.006830021344359772
1.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3292063822218752,-0.006912565523685404
1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3286004186257354,-0.006993606450364151
1.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3280130236173404,-0.007073216040814105
1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32744311306597684,-0.007151460684902245
1.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.326889695146598,-0.0072284018281063905
1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32635186009260286,-0.007304096475988031
1.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.325828771343429,-0.007378597633500303
1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32531965786302375,-0.007451954689293937
1.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.32482380744654366,-0.007524213753331749
1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3243405608653538,-0.0075954179546538735
1.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3238693067265116,-0.007665607704965453
1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3234094769439182,-0.007734820932774785
1.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3229605427353057,-0.007803093292046923
1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3225220110730569,-0.007870458348713994
1.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3220934215281731,-0.007936947747872593
