doy,hod,A(std),E(std),Ci(std),Rublim(std),gs(std),Es(std),sw(std),Ps(std)
[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[Pa],[-],[mol m-2 s-1],[mmol m-2 s-1],[m3 m-3],[MPa]
1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2944881062805472,-0.02034351797675487
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2944843870794921,-0.0203453738196363
1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2944761358443606,-0.020349491788844196
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2944682910343819,-0.020353407802155485
1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2944606494369795,-0.02035722319964455
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29445310944586545,-0.02036098866390509
1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.29444562025789534,-0.020364729542073384
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2944381564714974,-0.020368458510561356
1.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.29443070538588545,-0.02037218190901199
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2944232606506666,-0.020375902908002737
1.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2944158190906444,-0.020379623093243503
1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2944083791182208,-0.020383343257844386
1.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2944009399395968,-0.020387063798532935
1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2943935011578735,-0.020390784913803958
1.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.29438606257460165,-0.020394506703015364
1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29437862409055704,-0.020398229215946452
1.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2943711856561285,-0.020401952477581586
1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2943637472465113,-0.020405676500505343
1,9.5,1.4876562917880012,0.07195935926174488,13.766700291421389,False,0.024999127002025667,0.012630906996218558,0.2943563088493042,-0.02040940129110092
1,10.0,4.894098846612293,0.24804275204274406,13.588416337814435,False,0.07925696750585466,0.1902975001293053,0.29434615461095215,-0.020414487293590317
1,10.5,5.957245247828334,0.3479012501705374,26.724101583408782,True,0.09336947645496628,0.5850128203031661,0.2943246429110031,-0.020425266729818443
1,11.0,5.594195893389639,0.3025831076443203,13.435881895232654,False,0.08786584829332299,0.2537130725224272,0.29428725247082094,-0.02044401836973009
1,11.5,5.685487934683764,0.31068609192368474,26.92072932615191,False,0.08973355722810096,0.30174668931109394,0.29426195369099156,-0.020456717050355566
1,12.0,5.915749397431652,0.327778746482368,27.192672075163124,True,0.09595670405734998,0.608981075184875,0.2942348525949924,-0.020470330363776122
1,12.5,5.6257057578493885,0.3093772649020023,26.886612942806803,False,0.08849049708869669,0.29649032809785425,0.29419733868490533,-0.020489191222198125
1,13.0,5.597576685606657,0.2979090795008608,27.053095760951493,False,0.08952170914466312,0.2682419805109144,0.29417044837059764,-0.020502723031713226
1,13.5,2.1053993201907004,0.10673300109939926,13.757577146317702,True,0.035311848663589086,0.1661852056201087,0.29414483319176066,-0.02051562262714153
1,14.0,5.8186522318305105,0.3080475511311478,27.082896932967678,False,0.09333699705583401,0.27379139757354315,0.2941286325201834,-0.02052378592317508
1,14.5,5.827451335165088,0.3257684266999549,26.874180665858837,False,0.09236051446546908,0.46349661683869936,0.29410251366757967,-0.020536954642520113
1,15.0,5.30932408216424,0.30666749287870443,26.569173599514112,False,0.08097235363080146,0.2834558536596462,0.2940697352118179,-0.02055349464334399
