doy,hod,A(std),E(std),Ci(std),Rublim(std),gs(std),Es(std),sw(std),Ps(std)
[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[Pa],[-],[mol m-2 s-1],[mmol m-2 s-1],[m3 m-3],[MPa]
1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4220652,-0.0015114855599999998
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4109355521016387,-0.0018332917062466472
1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.39980590421516565,-0.0022354293895067434
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38867625632869246,-0.0027410826998429064
1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.38350728831914943,-0.0030193871528683344
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3783383203096064,-0.003330315373264836
1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3731693523000634,-0.0036782182639031815
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36916403375221984,-0.003976382631561393
1.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3663519082734769,-0.00420218168291199
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3640316523498286,-0.004399517121117991
1.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3620188974991831,-0.004579278287071074
1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3602277924073686,-0.004746301368381772
1.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35860833820385607,-0.004903309328464998
1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3571276107720947,-0.005052059906002194
1.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3557622202977449,-0.005193791287616396
1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3544946875710563,-0.005329428692871322
1.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.353311473516222,-0.005459692890573742
1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35220180728903444,-0.005585162803426007
1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3511569410050854,-0.0057063143423487835
1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3517538502460151,-0.005636740899153606
1.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3539075211999986,-0.005393624303035354
1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3543900699639014,-0.005340802700645373
1.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35486994215399603,-0.005288857336958873
1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3537727228827476,-0.0054084859327131855
1.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3543302947042442,-0.00534731386095571
1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3548783891798291,-0.005287948126007863
1.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35383875728594283,-0.005401199766246891
1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35286465460120536,-0.0055098247464726415
1.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3519463113093898,-0.005614514640454172
1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3510763407817616,-0.005715783499302248
1.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3518458083581567,-0.005626108695540685
1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3509960700832123,-0.005725231725940835
1.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3533792710127696,-0.005452131663845529
1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35407791172005776,-0.00537490508188456
1.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35634504262134337,-0.005132746129353673
1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3585176028124503,-0.004912279654545212
1.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3574512216755749,-0.005019116962396716
1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35804344410048106,-0.004959461154069575
1.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3602042743359476,-0.00474854012602283
1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.360701421368345,-0.0047014699477176914
1.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3611987314981857,-0.0046549150432042595
1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3616935793626865,-0.004609110866103911
1.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.36218350381370473,-0.004564267222980821
1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3610902772436411,-0.004665022901419585
1.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3600630750000063,-0.004762006628852121
1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35908980443942967,-0.0048560212778916145
1.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35816191598808617,-0.004947624358412343
1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35727321030724346,-0.005037207798586699
2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35641907638952897,-0.00512505041875914
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3555959954122563,-0.005211352968941116
2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35480121160080375,-0.005296261893807932
2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3540325104241365,-0.005379885661622336
2.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35328806716663935,-0.005462306093646762
2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35256634241553075,-0.0055435862788687906
2.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35186600924157874,-0.005623776127674883
2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35118590201630706,-0.005702916277934892
2.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.350524980124566,-0.00578104084375483
2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3498823020018945,-0.005858179347631
2.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3492570063698456,-0.005934358074863627
2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3486482985150416,-0.006009601018740487
2.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.34805544011952233,-0.006083930535914014
2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3474777416038206,-0.006157367796869513
2.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3469145562574144,-0.006229933091948764
2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3463652756483956,-0.006301646036026056
2.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3458293259553975,-0.006372525702545629
2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34692746007290715,-0.0062282596012969045
2,9.5,2.7951556336501877,0.05990828276263092,16.18531712545529,False,0.09605074950126866,0.12799432758261928,0.3463747947756309,-0.006300395263250632
2,10.0,6.630434368467421,0.13428468219680562,32.37063424282378,False,0.2278435529468515,0.2665014334019319,0.34582014215723395,-0.006373748150074983
2,10.5,7.817623437329123,0.17644145422491225,32.37063423161574,False,0.26863927769687823,0.36998414783907174,0.34526039746548226,-0.006448761784027864
2,11.0,8.427068513923993,0.20399277500881702,32.37063422707418,False,0.28958181688220125,0.4363656466345086,0.3447008485259713,-0.006524755369906787
2,11.5,4.293561002861384,0.11850391794367528,15.96084534886829,False,0.14728039182560868,0.3111217478631367,0.3441454565141744,-0.006601194178849291
2,12.0,9.379501606686766,0.2514300938501621,31.85979483577475,False,0.32212257501539177,0.5789997917366154,0.3436210309492732,-0.006674308120876702
2,12.5,10.18219658092138,0.41749123225313955,31.79023598127811,False,0.342962691364895,1.0246135782113726,0.3430719082651228,-0.0067518550648798985
2,13.0,9.93405285355475,0.4208001916687572,31.827486403848027,False,0.3334398584117785,1.0519413021634731,0.34247856299740087,-0.006836802398559286
2,13.5,9.493454129076804,0.4652230602888444,29.36512792121495,False,0.21394380053540152,1.052863436152418,0.3418928433893316,-0.006921853351875757
2,14.0,9.36707738213968,0.48827470794179073,28.35009381601521,False,0.18554840196943467,1.0056268460852602,0.34131297235707847,-0.00700724358200445
2,14.5,8.115099526344332,0.3927818486329997,28.15412641581661,False,0.157763687305926,0.6796206359611837,0.34074479374406536,-0.007092077099001312
2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34022370643409583,-0.007170908688976882
2,15.5,6.129393292762897,0.5146538198622709,24.09599175442603,False,0.07621138753463928,0.32262036481948103,0.3398079781184564,-0.0072345170914755105
2,16.0,6.771177727069893,0.5752408378183896,23.987018606510304,False,0.08277584269420368,0.36832880992003625,0.3393252539488876,-0.00730918361795586
2.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3388410597225621,-0.007384960128293193
2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3384496643821089,-0.007446867650744809
2.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.338065793977938,-0.007508159457709207
2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33768918323599506,-0.00756885084727519
2.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3373195813010034,-0.007628956350054346
2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33695675049883256,-0.007688489813827953
2.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.33660046526188,-0.007747464473804376
2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3362505111891449,-0.00780589301128967
2.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.33590668421834763,-0.007863787602998142
2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.335568789891895,-0.007921159962777228
2.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3352366427019876,-0.00797802137716392
2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.334910065502928,-0.008034382735907848
2.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.33458888898087896,-0.008090254558372202
2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33427295117306716,-0.008145647016545708
2.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.33396209702982316,-0.008200569955256939
2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3336561780139712,-0.008255032910068976
3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.33335505173298613,-0.008309045123241753
3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3330585816000685,-0.008362615558076523
3.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.33276663652088656,-0.008415752911898427
3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33247909060321995,-0.008468465627886135
3.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3321958228871434,-0.008520761905919338
