doy,hod,A(std),E(std),Ci(std),Rublim(std),gs(std),Es(std),sw(std),Ps(std)
[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[Pa],[-],[mol m-2 s-1],[mmol m-2 s-1],[m3 m-3],[MPa]
1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.323947523428588,-0.010094734847963518
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32394054051760546,-0.010096179816447464
1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3239313782362297,-0.010098076121398725
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3239222159548538,-0.010099972836173771
1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.32391305367347806,-0.010101869960872725
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3239038913921023,-0.010103767495595788
1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3238947291107265,-0.010105665440443215
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3238855668293507,-0.01010756379551522
1.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3238764045479749,-0.010109462560912098
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3238672422665992,-0.010111361736734114
1.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3238580799852233,-0.010113261323081667
1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3238489177038475,-0.010115161320055062
1.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3238397554224718,-0.010117061727754676
1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.323830593141096,-0.010118962546280938
1.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3238214308597202,-0.010120863775734311
1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32381226857834444,-0.010122765416215228
1.0,8.5,0.0,0.0,0.0,0.0,0.0,0.016718336961885873,0.3238031062969686,-0.010124667467824205
1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0188481944626991,0.32379324224453615,-0.010126715663877463
1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.016999343051916267,0.3237832887889321,-0.010128782907087752
1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.016872437904592454,0.32377341294095197,-0.010130834511799698
1.0,10.5,0.0,0.0,0.0,0.0,0.0,0.01734059498976449,0.3237635424199586,-0.010132885487653986
1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.05597194818910079,0.32375365224754327,-0.010134941026031219
1.0,11.5,0.0,0.0,0.0,0.0,0.0,0.04862670564388098,0.32374214048049116,-0.010137334195145129
1,12.0,3.9866539580409346,0.31078246108194624,16.9538461908373,False,0.20508887918444801,0.44814514685104373,0.32373093703828226,-0.01013966389127028
1,12.5,4.2117113470871175,0.3099839558542416,17.057257173629623,False,0.232196645629497,0.5215138140643227,0.3236899179142932,-0.010148198857851903
