doy,hod,A(std),E(std),Ci(std),Rublim(std),gs(std),Es(std),sw(std),Ps(std)
[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[Pa],[-],[mol m-2 s-1],[mmol m-2 s-1],[m3 m-3],[MPa]
1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4237338,-0.001618224246
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42044358693431955,-0.0017013531888955523
1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4171533738811399,-0.001789456628788572
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41386316082796015,-0.0018828750608584164
1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4105729477747805,-0.001981975264784349
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4074367490499505,-0.002082087590801594
1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4045311582557219,-0.002180086173953858
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4018682641724544,-0.002274606581501469
1.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3994320482422681,-0.0023652505492808736
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39719811717624953,-0.0024520544101699258
1.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.39514171731290026,-0.0025352285943283075
1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39324046349253433,-0.00261504038202692
1.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3914749752661861,-0.002691763078475871
1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38982875282833573,-0.002765655127743525
1.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.38828781871719426,-0.0028369526604704134
1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38684032465430823,-0.0029058680080234866
1.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.38547619300325897,-0.002972590766629947
1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3841868115332254,-0.003037289836734458
