doy,hod,A(std),E(std),Ci(std),Rublim(std),gs(std),Es(std),sw(std),Ps(std)
[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[Pa],[-],[mol m-2 s-1],[mmol m-2 s-1],[m3 m-3],[MPa]
1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2859039961355388,-0.0202831869640223
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2858981638341393,-0.02028584619816845
1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.285889519883979,-0.02028978814287755
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28588087593381867,-0.02029373097280752
1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2858722319836583,-0.020297674688183946
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28586358803349804,-0.020301619289232388
1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2858549440833377,-0.020305564776178606
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2858463001331774,-0.020309511149248335
1.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2858376561830171,-0.020313458408667395
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2858290122328568,-0.020317406554661653
1.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.28582036828269647,-0.020321355587457103
1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29130635766963886,-0.017984205194737188
1.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.29679234705658125,-0.015952172298375155
1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30193435485162134,-0.014284990728645667
1.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.30186933955078543,-0.014304773998646325
1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3018045451051691,-0.014324521572149106
1.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3017399676120371,-0.01434423437646885
1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30167560325524373,-0.014363913320037384
1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3103637403842023,-0.011968237643780343
1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3189924221520247,-0.010034499277159957
1.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.32536111145226476,-0.008837374995690444
1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3316483965538855,-0.007814575345724363
1.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.33302604135724806,-0.007609147091332546
1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3352943505009101,-0.007284348065825162
1.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.33901853361592127,-0.006785188700531208
1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3408496014723164,-0.006554330467297966
1.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.34250397298073765,-0.0063535251384721604
1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34397302209701236,-0.006181153984879197
1.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3452484132159003,-0.006035876587404463
1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3469310478557277,-0.00585020598711691
1.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.34858505355484387,-0.005674097908597431
1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34806963459732126,-0.005728310977854666
1.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3497214439003643,-0.005556650763167142
1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35134212232040224,-0.005393977910378605
1.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35293113674606497,-0.005239803454153622
1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35448788425880506,-0.005093677422015127
1.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35813574816299887,-0.004769335610012416
1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35743412793061746,-0.004829820270098684
1.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35889488103531764,-0.004704876484700703
1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35819723105560625,-0.004764077187785066
1.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3596564847205196,-0.004641217084481915
1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3589523145841575,-0.004700040818193378
1.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3582760076425253,-0.004757349483442687
1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35974863308318633,-0.00463358248442439
1.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3590489684334883,-0.004691915924890096
1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35836997905822315,-0.00474933846025799
1.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3577077566583205,-0.0048061266851232584
1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35705912753235264,-0.004862511254849824
2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3564214811276804,-0.004918687527591046
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35792138149453184,-0.004787722193117635
2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35723515418930996,-0.004847134239738105
2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3565581631338015,-0.004906583043830112
2.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3558883444196804,-0.004966232796710918
2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3552239758931266,-0.005026226531424199
2.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3545636145490753,-0.00508668990340018
2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3539060489572566,-0.005147734039597049
2.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3532502625502455,-0.005209457709818458
2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3525954048706299,-0.0052719489980176905
2.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35194076871943847,-0.005335286600627917
2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35128610985865855,-0.0053995074438035135
2.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.350631394679306,-0.005464628918002276
2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3499765903662995,-0.005530668771111102
2.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.34932166497681727,-0.005597645107196662
2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3486665875216928,-0.005665576384388941
2.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.34801132805024204,-0.0057344814117874345
2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34735585773884586,-0.005804379345278048
2.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3467001489835575,-0.005875289682145891
2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34604417549695304,-0.0059472322543662835
2.0,10.5,0.0,0.0,0.0,0.0,0.0,0.02405709666872213,0.3453879124093961,-0.006020227220453008
2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.06975842538633864,0.3447284788201579,-0.00609461970796572
2.0,11.5,0.0,0.0,0.0,0.0,0.0,0.11238833631928515,0.3440632820678639,-0.006170740764239117
2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.10245360313876256,0.3433926649846295,-0.006248596454791638
2.0,12.5,0.0,0.0,0.0,0.0,0.0,0.10976006453856708,0.3427228834775289,-0.006327490388977717
2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.24678740009637948,0.3420519400498008,-0.006407677570525635
2.0,13.5,0.0,0.0,0.0,0.0,0.0,0.13539998042580823,0.3413645076296855,-0.00649105596071479
2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.06156311551966478,0.3406902003744566,-0.006574062830385736
2.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.34002501619538517,-0.006657150832913458
2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33936969262855393,-0.0067401960749987515
2.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3387188433159476,-0.006823861505995823
2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3380741109139405,-0.006907926116639499
2.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.33743685959475833,-0.006992193485938137
2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.336808192722793,-0.007076491822493444
2.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.33618897762759176,-0.007160672927605821
2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3355798735170762,-0.0072446105055749745
2.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.33498135984549354,-0.0073281981336145805
2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3343937634402615,-0.007411347109608911
2.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3338172834188413,-0.007493984322082213
2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333252013433357,-0.007576050231616623
2.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.33269796111532446,-0.007657497013522558
2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3321550648005415,-0.007738286884505195
2.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.33162320773241055,-0.007818390618305
2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3311022299998057,-0.007897786244244224
2.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3305919384845052,-0.007976457916260098
2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3300921150883631,-0.008054394936825216
2.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3296025234921425,-0.008131590919041467
2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3291229146730778,-0.008208043070365148
3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3286530313810925,-0.008283751582343993
3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3281926117467446,-0.008358719112063887
3.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3277413921688618,-0.008432950342484759
3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32729910960717196,-0.008506451610344997
3.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.32686550338526976,-0.00857923059175047
