doy,hod,A(std),E(std),Ci(std),Rublim(std),gs(std),Es(std),sw(std),Ps(std)
[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[Pa],[-],[mol m-2 s-1],[mmol m-2 s-1],[m3 m-3],[MPa]
1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.42206520000000003,-0.0015114855599999998
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41911915114754245,-0.0015899237749520383
1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.416173102307542,-0.0016730294935425175
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41322705346754157,-0.0017611164970172822
1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.41028100462754113,-0.0018545221189698183
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4074686111861124,-0.0019489854169077996
1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.40485812408003535,-0.0020415961249557464
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4024615869912673,-0.0021310492475137698
1.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.40026587797840346,-0.0022169408065771203
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3982500400181355,-0.002299280790792765
1.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3963924943655602,-0.0023782494044099875
1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39467357462955477,-0.0024540854339853238
1.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3930761687655158,-0.0025270369732419413
1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3915856565025733,-0.002597340664632373
1.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3901896195721498,-0.0026652139182712724
1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38887750938772625,-0.0027308529915416775
1.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3876403386089155,-0.0027944336353234217
1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3864704159850667,-0.0028561127690359994
1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.38536112584163157,-0.0029160304685545827
1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38472797285180604,-0.0029508707904028143
1.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.384549628244724,-0.0029607698792992175
1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3839641629122244,-0.002993533119874309
1.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3834105301677055,-0.0030248951544618033
1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38246349861855666,-0.0030794135374466467
1.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3819833938603478,-0.0031074787946904167
1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3815276025049599,-0.003134392510251992
1.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3806699984992528,-0.0031857552018295494
1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3798481238859525,-0.0032358789579203795
1.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.37905888788515885,-0.003284858841454553
1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3782996307831037,-0.003332776260768066
1.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.37799507768782364,-0.0033522201273280517
1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3772764177357323,-0.0033986162755054263
1.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.37743802245598634,-0.0033881198191430457
1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37717091465847064,-0.003405488823295065
1.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3773435041758894,-0.003394254428072858
1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37751527031635895,-0.0033831155010740858
1.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3768311884739843,-0.003427726569594599
1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3765997052850903,-0.0034429736620630175
1.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3768074287376452,-0.0034292880057755263
1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37658539123020957,-0.0034439190171661476
1.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.37637415929721185,-0.003457903997587395
1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3761731561855582,-0.003471271821700729
1.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.37598183818345976,-0.0034840502063448204
1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37537045464196617,-0.0035252457578180156
1.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3747784788408227,-0.0035656627908514818
1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3742044288156497,-0.003605360488034699
1.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3736470107349147,-0.0036443902025438957
1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3731050885494664,-0.0036827966861783788
2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.372577658787254,-0.0037206191377067046
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3720638298602818,-0.003757892077054829
2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3715628051036346,-0.0037946460688465375
2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3710738688424564,-0.003830908320475605
2.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3705963749011854,-0.0038667031771894736
2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3701297370821012,-0.0039020525330690763
2.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.36967342123557995,-0.0039369761733786994
2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36922693862158495,-0.003971492060831583
2.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3687898403231825,-0.004005616575903687
2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36836171252116945,-0.004039364719376225
2.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3679421724769056,-0.004072750283721436
2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3675308651003834,-0.004105785998693199
2.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3671274600042113,-0.004138483655482414
2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3667316489629235,-0.004170854212994256
2.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3663431437119425,-0.004202907889159847
2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36596167403242724,-0.004234654239675937
2.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.365586986077803,-0.004266102226146171
2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.365652615337533,-0.004260574732493012
2,9.5,2.7951556336501877,0.05990828276263092,16.18531712545529,False,0.09605074950126866,0.12799432758261928,0.3652837677906785,-0.004291746407070504
2,10.0,6.630434368467421,0.13428468219680562,32.37063424282378,False,0.2278435529468515,0.2665014334019319,0.3649168967252194,-0.004323008857176156
2,10.5,7.817623437329127,0.17644145422491347,32.37063423161574,False,0.26863927769687834,0.36998414783907546,0.3645511764057189,-0.004354431541282694
2,11.0,8.427068513923993,0.20399277500881702,32.37063422707418,False,0.28958181688220125,0.4363656466345086,0.3641879934754148,-0.004385893790976417
2,11.5,4.293561002861384,0.11850391794367413,15.96084534886829,False,0.14728039182560868,0.3111217478631335,0.36382837641916144,-0.004417302378731848
2,12.0,9.379501606686766,0.2514300938501621,31.85979483577475,False,0.32212257501539177,0.5789997917366154,0.3634793964088876,-0.004448026975476595
2,12.5,10.18219658092138,0.41749123225313955,31.79023598127811,False,0.342962691364895,1.0246135782113726,0.3631262897170464,-0.004479362762129626
2,13.0,9.93405285355475,0.4208001916687571,31.827486403848027,False,0.3334398584117785,1.051941302163473,0.3627638554455069,-0.004511787949037988
2,13.5,9.493454129076804,0.4652230602888444,29.36512792121495,False,0.21394380053540152,1.052863436152418,0.36240578332167245,-0.004544085540762703
2,14.0,9.36707738213968,0.48827470794179073,28.35009381601521,False,0.18554840196943467,1.0056268460852602,0.36205156672986366,-0.004576294593048027
2,14.5,8.115099526344332,0.3927818486329997,28.15412641581661,False,0.157763687305926,0.6796206359611837,0.3617027152315628,-0.004608270067826696
2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36136856097892694,-0.004639137107614527
2,15.5,6.129393292762897,0.5146538198622709,24.09599175442603,False,0.07621138753463928,0.32262036481948103,0.3610644891754942,-0.004667430006364577
2,16.0,6.771177727069893,0.5752408378183896,23.987018606510304,False,0.08277584269420368,0.36832880992003625,0.3607448384779983,-0.0046973844730835365
2.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3604269153248425,-0.00472739432659475
2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3601356348595551,-0.004755081006792666
2.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3598483871649329,-0.0047825652907596775
2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35956506489608087,-0.004809851282214909
2.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3592855651496493,-0.004836942925888071
2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3590097891950758,-0.004863844018131369
2.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35873764222837745,-0.004890558216508801
2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35846903314606693,-0.004917089048483886
2.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3582038743370746,-0.004943439919310808
2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3579420814908265,-0.004969614119220055
2.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35768357341985496,-0.004995614829977717
2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3574282718955154,-0.005021445130887588
2.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35717610149555234,-0.005047108004296229
2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3569269894624022,-0.005072606340653987
2.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3566808655712501,-0.00509794294317809
2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3564376620069642,-0.005123120532158679
3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3561973132491313,-0.005148141748943482
3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.355959755964498,-0.005173009159632742
3.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3557249289061964,-0.0051977252585124764
3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35549277281919606,-0.005222292471250732
3.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3552632303514854,-0.005246713157878631
3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3550362459705266,-0.005270989615576165
3.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35481176588458235,-0.005295124081279612
3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3545897379685436,-0.005319118734126468
3.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.354370111693926,-0.005342975697751638
3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3541528380627335,-0.005366697042447249
3.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.353937869544912,-0.005390284787197366
3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353725160019145,-0.005413740901597488
3.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35351466471675935,-0.0054370673076679955
3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35330634016853424,-0.005460265881569605
3.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3531001441542205,-0.005483338455228137
3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35289603565459404,-0.0055062868178754115
3.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3526939748058827,-0.005529112717512156
3,9.0,4.534922731949749,0.1558565342805096,14.422543061699324,False,0.08846404023757556,0.11280269857203616,0.3524939228564162,-0.005551817862298556
3,9.5,5.927505878473106,0.20885839232907882,29.438359211167352,False,0.12470165119628604,0.271103359569602,0.3522894363962753,-0.005575136076235794
3,10.0,7.603964024864578,0.3497390344737012,28.3346902266726,False,0.14389591176985986,0.5691497329045633,0.35208184635086504,-0.005598922320586959
3,10.5,8.71437594840894,0.5207921503915203,26.757645320205857,False,0.13962763960025518,0.7562003933513479,0.3518656897403848,-0.005623813011462753
3,11.0,9.019899801308732,0.6023336160901288,26.00183315957431,False,0.13308467729587775,0.8536534013204489,0.3516428589630205,-0.005649604198625855
3,11.5,8.948230154159075,0.6701794874851983,25.449369962313238,False,0.12593316168371893,1.0335878609283917,0.35141759080864654,-0.005675814459175586
3,12.0,9.13135015862953,0.7321814767096502,25.17975647085168,False,0.12586808544159572,1.185834199532605,0.3511882123162413,-0.005702645304172032
3,12.5,9.119433390464213,0.7232288981969259,24.85301277486568,False,0.12279393264993688,0.8320448942449135,0.3509554909863188,-0.005730014835734869
3,13.0,9.17399116564324,0.8345429559707734,23.94117706970892,False,0.1198080124729906,1.1270785223106827,0.3507331530042338,-0.0057563029840896444
3,13.5,9.13972011634118,0.7487364743594643,24.86700422644917,False,0.12212616156618362,0.9983827767430168,0.35050283034627694,-0.005783680090450378
3,14.0,8.939032580533638,0.6974784340732405,25.096275701045887,False,0.12161114366738957,0.8528999813258556,0.35027929654624707,-0.0058103920734713915
3,14.5,8.523679184960582,0.6296813985159341,25.29142597963211,False,0.11735758949750588,0.676549232152424,0.3500620992760657,-0.005836481462742795
3,15.0,7.451117550097319,0.5149318224436256,25.51588618864827,False,0.1042797394211066,0.43077271173027876,0.349852340766802,-0.0058618039804397585
3,15.5,5.4733734545789785,0.3459056530167922,25.91499661462408,False,0.07854806566946222,0.18693683157046287,0.34965276846119764,-0.005886012969369877
3,16.0,2.8086554663819636,0.15565377712492098,13.177197952664395,False,0.04197052540524959,0.03713256387485198,0.3494646035011084,-0.005908942498061598
3.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.34928608388985105,-0.0059307907058325
3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3491136728016176,-0.0059519786602725165
3.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3489427487618634,-0.0059730689720845
3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3487732875599897,-0.005994062813593466
3.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.34860526556295135,-0.006014961334185063
3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.348438659696824,-0.0060357656609689985
3.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.34827344742913113,-0.006056476899414598
3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3481096067518895,-0.006077096133960235
3.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.34794711616533835,-0.006097624428597918
3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34778595466231627,-0.006118062827434554
3.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3476261017132523,-0.006138412355231304
3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.347467537251743,-0.006158674017921964
3.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.34731024166068475,-0.006178848803111703
3.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3471541957589355,-0.00619893768055715
3.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.34699938078848036,-0.006218941602628757
3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3468457784020769,-0.006238861504756369
4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.34669337065135886,-0.0062586983058588236
4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3465421399753757,-0.006278452908758393
4.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.34639206918954885,-0.006298126200580834
4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3462431414750262,-0.006317719053141615
4.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3460953403684161,-0.0063372323233191405
4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34594864975188455,-0.006356666853415459
