doy,hod,A(std),E(std),Ci(std),Rublim(std),gs(std),Es(std),sw(std),Ps(std)
[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[Pa],[-],[mol m-2 s-1],[mmol m-2 s-1],[m3 m-3],[MPa]
1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4133184,-0.001241952867
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4090963415848655,-0.0013254256837711418
1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4048742831819134,-0.0014154636553548176
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40065222477896123,-0.0015126598532412313
1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3976292402895946,-0.0015870105855852006
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3937856405684126,-0.0016877384081052365
1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.39079964212712687,-0.0017711202088335485
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3877484146391714,-0.0018612915052760217
1.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.38524830375248753,-0.0019391539354804764
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38279283197916775,-0.0020193201656509537
1.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.38057013108865256,-0.002095211717388238
1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3785416098259895,-0.002167368482844408
1.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.37667727854379407,-0.002236232889542592
1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37495343057516034,-0.0023021713672113607
1.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.373351039831334,-0.0023654904455406777
1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3718546281672258,-0.0024264489779476316
1.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.370451449460331,-0.0024852675000226476
1,9.0,2.343175697461511,0.22728887747047255,16.340894459553514,False,0.0863211552241377,0.021651375003070877,0.36913089168121554,-0.002542135453690972
1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.36810449491652547,-0.0025873778262088852
1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36691367943743036,-0.0026410405793636828
1,10.5,2.5318461495671936,0.23043965868850091,16.41088185765547,False,0.09639634631970014,0.02923086717094689,0.3660118526298668,-0.0026825388061317273
1,11.0,3.6403442265143733,0.32762367896106526,16.416107213722494,False,0.13894833432798662,0.11068340699009722,0.364921228804799,-0.0027337372347542134
1,11.5,5.62311786031678,0.5339353298128952,16.35521264139371,False,0.20853512232246343,0.3181942486380795,0.36433484323935483,-0.0027617319091356738
1,12.0,6.272148126703698,0.626305622763275,16.299719578517607,False,0.22673811835902474,0.41849945300501407,0.3633095004633587,-0.0028114844961540895
1,12.5,4.541726031169883,0.44945487254428884,16.270215448636215,False,0.1620109227809774,0.19764870643761762,0.36232395406199863,-0.002860286664742336
1,13.0,4.695740706510053,0.4536926428712624,16.325613517251,False,0.17177249874926936,0.2184904553033066,0.36138954505565696,-0.0029074645543694685
1,13.5,3.8250510317851454,0.3568436493705099,16.380250283841338,False,0.1435287532209268,0.14366454533600045,0.3607221782297471,-0.0029417114461738466
1,14.0,3.829260410469049,0.3669839022547355,16.350958197915503,False,0.1417282102523474,0.1576628746836087,0.3598559511923516,-0.0029868620719220025
