doy,hod,A(std),E(std),Ci(std),Rublim(std),gs(std),Es(std),sw(std),Ps(std)
[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[Pa],[-],[mol m-2 s-1],[mmol m-2 s-1],[m3 m-3],[MPa]
1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.40790129999999997,-0.001119608433
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38105257567067363,-0.0015977285743201965
1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3542038513525263,-0.002340067652419021
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34933065010716646,-0.002515656663653455
1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3444699967590272,-0.0027066565185851306
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34019725077040286,-0.002888972678093289
1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3353365974222635,-0.003114473486528977
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33047594407412423,-0.00336126258809289
1.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.32561529072598494,-0.003631708393534667
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3207546373778457,-0.003928483957328025
1.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.31701502878695664,-0.004176618287506868
1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31438405839626404,-0.00436242089402902
1.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.31223110106456436,-0.004521827808810581
1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3103664757603857,-0.0046655212928770964
1.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3087027997889534,-0.0047983424711545855
1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30719115956225584,-0.004922948876354958
1.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.30580071263037895,-0.005040983034798651
1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30451036312150587,-0.005153547985084808
1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.303304807685611,-0.005261431711632334
1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.14664361381329372,0.30217244569533563,-0.005365224602324552
1.0,10.5,0.0,0.0,0.0,0.0,0.0,0.41394427893062474,0.3010854945599187,-0.005467157749105381
1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.9705217389973784,0.3000212569156721,-0.005569204186720609
1.0,11.5,0.0,0.0,0.0,0.0,0.0,0.6235003653996285,0.29893685050964236,-0.005675527643246998
1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.2288110874447534,0.2979423907963506,-0.0057751642006223765
1.0,12.5,0.0,0.0,0.0,0.0,0.0,0.022757762189174788,0.29703968507828127,-0.005867417022050165
1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2962010345518842,-0.005954701011098582
1.0,13.5,0.0,0.0,0.0,0.0,0.0,0.2821166968085183,0.2953999103394096,-0.006039527829863857
1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.37853037091098474,0.2945946910533427,-0.006126243084894736
1.0,14.5,0.0,0.0,0.0,0.0,0.0,0.2199272569177051,0.29380660315432927,-0.006212553628353872
1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29306598447534027,-0.006294988999308829
1.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2923787258763922,-0.006372653342407972
1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29171507893985005,-0.006448735264030029
1.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2910734944391953,-0.006523318943811943
1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29045257319762185,-0.006596481191352946
1.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.28985104678672097,-0.006668292360931614
1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28926776133399723,-0.006738817117939025
1.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2887016638368963,-0.006808115086627143
1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28815179051705964,-0.006876241401824767
1.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.28761725684965994,-0.006943247182177196
1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28709724897886596,-0.0070091799386740716
1.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.28919704415725217,-0.006747427764903591
1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29383489527598894,-0.006209430133217157
1.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.29832218076910455,-0.005736868344708804
1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29751659817208675,-0.00581846146259759
1.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3018950873888292,-0.005391018222775295
1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3009962560591617,-0.005475628491216073
1.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.30015281905049673,-0.005556466911292001
1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2993560260378688,-0.0056341441593245065
2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2985992447935896,-0.005709121580930251
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2978773207030914,-0.005781756022425444
2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.29718616103847084,-0.005852329093641223
2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2965224555941114,-0.005921066929287597
2.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2958834833976282,-0.00598815391936153
2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29526697559918647,-0.006053742482824997
2.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.299852437722486,-0.005585599527958087
2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2991291894173933,-0.005656494004106297
2.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2984374183674818,-0.005725308325182053
2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30036079436980107,-0.005536402371274281
2.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.29964617015064693,-0.005605709897760222
2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29896170980680237,-0.005673063306232001
2.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.29830406888445793,-0.005738687760039642
2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29767050506919446,-0.005802766757047273
2.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2970587389887166,-0.005865451731553758
2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.296466852935061,-0.005926869069106974
2.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.29589321577615535,-0.005987125326264769
2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29533642635441487,-0.00604631117761568
2.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2947952701886917,-0.006104504443046739
