doy,hod,A(std),E(std),Ci(std),Rublim(std),gs(std),Es(std),sw(std),Ps(std)
[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[Pa],[-],[mol m-2 s-1],[mmol m-2 s-1],[m3 m-3],[MPa]
1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.42206520000000003,-0.0015114855599999998
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41911915114754245,-0.0015899237749520383
1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.416173102307542,-0.0016730294935425175
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41322705346754157,-0.0017611164970172822
1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.41028100462754113,-0.0018545221189698183
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4074686111861124,-0.0019489854169077996
1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.40485812408003535,-0.0020415961249557464
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4024615869912673,-0.0021310492475137698
1.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.40026587797840346,-0.0022169408065771203
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3982500400181355,-0.002299280790792765
1.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3963924943655602,-0.0023782494044099875
1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39467357462955477,-0.0024540854339853238
1.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3930761687655158,-0.0025270369732419413
1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3915856565025733,-0.002597340664632373
1.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3901896195721498,-0.0026652139182712724
1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38887750938772625,-0.0027308529915416775
1.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3876403386089155,-0.0027944336353234217
1,9.0,6.1316126701454134,0.37640567912755735,26.086355990530606,False,0.08937605422567044,0.1353281469511759,0.3864704159850667,-0.0028561127690359994
1,9.5,7.8433592879944705,0.5066944174601886,25.95071022884134,False,0.11292341390984545,0.29324955588685825,0.38534892440630386,-0.0029166974324350836
1,10.0,8.52650707776472,0.6087747592756533,25.356181132337912,False,0.11920026720002017,0.44653147926136894,0.38427547258391803,-0.002976060815847627
1,10.5,8.823255114197856,0.6782109747845292,25.081399890389406,False,0.12018771290558512,0.5803817588224103,0.3832458703816228,-0.00303429480500206
1,11.0,8.888433772673714,0.715925506462178,24.946273683032167,False,0.11980123978110269,0.6819495319209812,0.38225701356783787,-0.003091448420286533
1,11.5,9.202702596199266,0.8201710316842019,24.379758601252604,False,0.11907502869984099,0.7566702161589293,0.3813066117396429,-0.003147537102143772
1,12.0,9.376511611022725,0.8697516936901184,23.897202945292854,False,0.12064088714816092,0.7917292647547217,0.3803903512898728,-0.003202710195828068
1,12.5,9.498714892894952,0.9035140086420903,23.72605229714145,False,0.11985522362776213,0.788645289640029,0.3795074967719183,-0.0032569155249811093
1,13.0,9.580272447749945,0.8777336287735142,24.18408770586197,False,0.12113469905854003,0.7497137798934266,0.37865667846613266,-0.0033101442306419228
1,13.5,9.53114750808512,0.89446290413822,23.730546661695072,False,0.11970896246754312,0.6897460534920058,0.3778377970931377,-0.0033623120869984984
1,14.0,9.428029518185866,0.8920054855156513,23.56660647480632,False,0.1170854375610437,0.6074296619978713,0.3770482115344515,-0.0034135017038672295
1,14.5,9.233232171439882,0.8344339127713098,24.00646721103609,False,0.11451398558574502,0.5024647781321274,0.3762869956117092,-0.003463693657236154
1,15.0,8.792698938119297,0.7648394066092157,24.117059881597296,False,0.10961780644471575,0.38794750854595955,0.3755542725245248,-0.003512801935093931
1,15.5,8.030768894892834,0.6507101221835345,24.421850753113297,False,0.10217520265169888,0.26885935387640003,0.37484898846964776,-0.0035608211910868183
1,16.0,6.70350245981088,0.4997936448524783,24.794642176824127,False,0.08737103123676183,0.1521282750709464,0.3741708892217413,-0.0036076953882546356
1.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.37351949708706733,-0.0036533860130804146
1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37290278789355324,-0.003697251857792616
1.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3723041307693923,-0.0037404080893630788
1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37172252773867925,-0.0037828849406479404
1.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3711570603820172,-0.0038247106136469456
1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37060688167117034,-0.003865911462009375
1.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.370071208817064,-0.00390651215334145
1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36954931698502774,-0.003946535813931699
1.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3690405337549842,-0.0039860041581275645
1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3685442342237887,-0.004024937604275779
1.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.36805983666298847,-0.004063355378868427
1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3675867986585459,-0.00410127561030855
1.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3671246136700882,-0.004138715413516348
1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3666728079564335,-0.004175690966432863
1.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3662309378218168,-0.004212217579339102
1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3657985871436939,-0.004248309757789295
2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.365375365148424,-0.004283981259855647
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3649609044057307,-0.004319245148294322
2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3645548590167264,-0.0043541138381676964
2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3641569029736017,-0.004388599140393062
2.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.36376672867190496,-0.00442271230163199
2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.363384045558755,-0.004456464040886285
2.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3630085789024075,-0.004489864583124127
2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3626400686703791,-0.004522923690223638
2.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3622782685048768,-0.004555650689488765
2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36192294478561166,-0.004588054499964812
2.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.36157387577123445,-0.004620143656755995
2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3612308508116339,-0.004651926333526267
2.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.360893669624216,-0.004683410363345409
2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3605621416280464,-0.004714603258025844
2.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.36023608533040996,-0.004745512226080726
2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3599153277609265,-0.004776144189420857
2.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35959970394887836,-0.004806505798896535
2,9.0,5.738204262129416,0.3036611959550013,26.898313092344125,False,0.0903646035799717,0.07623371324138699,0.3592890564398633,-0.004836603448779648
2,9.5,6.300873201767494,0.340491057458021,26.761849236610686,False,0.0979028804321177,0.0939741842912847,0.35897417689094246,-0.004867330290082383
2,10.0,8.509991455709676,0.5087636259943232,26.34979747310049,False,0.13010793476710836,0.23105073787473787,0.3586626783897405,-0.004897946051802802
2,10.5,8.989685499308063,0.565801517392228,26.18685038246162,False,0.13513809481863062,0.29032284434992917,0.3583484440738347,-0.00492905303617166
2,11.0,8.965279354338946,0.6577212354742666,25.607836711765835,False,0.1277374982977333,0.44287537339769134,0.3580358497132525,-0.004960221025434741
2,11.5,9.210911445785488,0.7818708389592324,24.481626578363255,False,0.1257799942354172,0.48438003540827484,0.35772171352194765,-0.004991768981893361
2,12.0,9.180017517994902,0.7055491927292606,24.76491083438795,False,0.12196810514135631,0.24030016509378554,0.35740779408000967,-0.005023523565909519
2,12.5,8.89786932702752,0.7979876933182452,24.137178972546458,False,0.11167267451630383,0.46944965144216266,0.35754102832912654,-0.005010018222546041
2,13.0,9.483560289622496,0.8700632595315763,24.076472899208284,False,0.11825689651744267,0.7186967909664187,0.35810035020927844,-0.0049537715164056015
2,13.5,9.55565399657707,0.870167686516104,24.10280259659207,False,0.11930235270581926,0.7650394832761512,0.3582095013609223,-0.004942879051664791
2,14.0,9.417726260845452,0.8359752031435804,24.19089237663357,False,0.11823013627668508,0.6633139678168067,0.35788102325703286,-0.0049757414240303695
2,14.5,9.082649616985591,0.8273528562693233,23.898891652552713,False,0.11131839094004653,0.5263369660415568,0.35756028262286993,-0.005008069923748915
2,15.0,8.075875222454494,0.6167944069658945,24.87289841911426,False,0.10685910919406695,0.3259059994944861,0.35724735963938187,-0.0050398411031298395
2,15.5,7.885234979148647,0.5490150015206731,25.439923931479147,False,0.10851010686693092,0.2689873128963926,0.35694843982326013,-0.005070404987235338
2,16.0,5.331482409733947,0.3792999884653244,25.067864664043547,False,0.07107976983514956,0.08866655417788515,0.35665656249429734,-0.005100452567951138
2.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3563769730290947,-0.00512942539415948
2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3561123624470585,-0.0051570187034277
2.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3558514581213353,-0.005184391099064161
2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35559415095525737,-0.005211548214931765
2.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3553403371050585,-0.0052384954117251775
2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35508991761703673,-0.005265237796744457
2.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35484279809728925,-0.00529178024182665
2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35459888841047965,-0.005318127399639128
2.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.354358102404541,-0.005344283718513094
2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35412035765860195,-0.0053702534559732385
2.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3538855752517527,-0.005396040691100457
2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3536536795505496,-0.005421649335848331
2.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3534245980134058,-0.005447083145419534
2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35319826101022556,-0.005472345727796135
2.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35297460165583056,-0.005497440552506806
2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3527535556558823,-0.005522370958704897
3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35253506116415223,-0.0055471401626226826
3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35231905865011054,-0.005571751264460391
3.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35210549077591724,-0.00559620725476185
3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3518943022819918,-0.0056205110203235405
3.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.351685439880424,-0.005644665349678509
3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35147885215556335,-0.0056686729381926065
3.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35127448947118906,-0.005692536392806549
3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3510723038837223,-0.005716258236454058
3.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3508722490609938,-0.005739840912183182
3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.350674280206127,-0.005763286787005427
3.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.350478353986137,-0.0057865981554948275
3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3502844284648838,-0.005809777243156967
3.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3500924630400494,-0.005832826209586305
3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34990241838384034,-0.005855747151428147
3.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3497142563871414,-0.005878542105160352
3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3495279401068714,-0.005901213049708336
3.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.34934343371631293,-0.005923761908905989
3,9.0,4.494457178767019,0.2766816243560175,26.053203190873614,False,0.06531402233492861,0.07846517511647597,0.3491607024582077,-0.005946190553813589
3,9.5,5.311022696032591,0.34901547697617796,25.820456479859477,False,0.07557363844899746,0.17983138469112625,0.34897124472027974,-0.005969546954534428
3,10.0,5.7051798240531095,0.39126746154206715,25.63089193459444,True,0.08049911502673102,0.27890949859726644,0.34877935404690785,-0.005993309813581743
3,10.5,6.143118743703193,0.44389945206316117,25.422239146557846,True,0.08525600267507516,0.3632650001522801,0.3485857704401841,-0.0060173914973442886
3,11.0,6.7988193706531845,0.5369358678444646,24.977791624840073,True,0.09124162611310827,0.43701267205275374,0.34839056654274225,-0.006041786353990609
3,11.5,7.434683761641081,0.6172525377150877,24.736795597192533,False,0.09809925630301587,0.4885979155581373,0.3481930018754183,-0.006066590946759893
3,12.0,7.760476616152117,0.6559148437791293,24.674844748018096,False,0.10193492961212816,0.5125372398234861,0.34799387895233297,-0.00609170855923913
3,12.5,8.013208977847645,0.6833421118154153,24.602309262219748,False,0.10448976570020516,0.5129490888087644,0.34779482173403675,-0.006116936285684488
3,13.0,8.508770426253786,0.7502423786184441,24.3262968563658,False,0.10852595722203182,0.49367667054582504,0.34759663145966,-0.006142172370780609
3,13.5,8.732689899537814,0.7952471914033586,24.049989865964108,False,0.1090134504804352,0.4521491375901716,0.3473988094301385,-0.006167479832003777
3,14.0,8.953390427927935,0.8273998721918502,23.854781028229024,False,0.10997612628582437,0.3988737466308737,0.347202382189052,-0.0061927263807187724
3,14.5,8.779602334658595,0.803009560380386,23.813177899438685,False,0.10704312085121523,0.3280920649782516,0.3470079108201311,-0.0062178375107145665
3,15.0,8.411254296930334,0.7464592350549274,23.89822931479007,False,0.10295719029483781,0.25049911878713366,0.3468171361085226,-0.006242584006312025
3,15.5,7.651304612726337,0.6523998828416124,24.052027185008175,False,0.09441663251530488,0.17012321976300762,0.346630963105183,-0.00626684174328991
3,16.0,6.587674310203825,0.5342975534718999,24.241433197489844,False,0.08213843493307099,0.09516434247627742,0.3464503289702833,-0.00629048040470165
3.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3462756548715483,-0.006313435693752526
3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34611732369182796,-0.006334325661427833
3.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.345960305164257,-0.006355120189337383
3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.345804578023924,-0.006375820488226067
3.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.34565012152595254,-0.0063964277426089185
3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3454969154281871,-0.006416943111608337
3.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.34534493997462007,-0.006437367729755043
3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3451941758795214,-0.006457702707754771
3.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.34504460431223416,-0.006477949133222553
3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3448962068826009,-0.006498108071386349
3.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.344748965626989,-0.006518180565761658
3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3446028629948836,-0.0065381676387987146
3.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3444578818360215,-0.006558070292503448
3.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34431400538803747,-0.006577889509033875
3.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.344171217264598,-0.00659762625127294
3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.344029501444,-0.00661728146337901
