doy,hod,A(std),A(psi2),E(std),E(psi2),Ci(std),Ci(psi2),Rublim(std),Rublim(psi2),gs(std),gs(psi2),Es(std),Es(psi2),sw(std),sw(psi2),Ps(std),Ps(psi2)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[Pa],[Pa],[-],[-],[mol m-2 s-1],[mol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[m3 m-3],[m3 m-3],[MPa],[MPa]
1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3328631969202761,0.3328631969202761,-0.0084295095653511,-0.0084295095653511
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33285596299320486,0.33285596299320486,-0.008430726066614588,-0.008430726066614588
1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3328467255851325,0.3328467255851325,-0.008432279779127812,-0.008432279779127812
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3328374881770601,0.3328374881770601,-0.008433833821109599,-0.008433833821109599
1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3328282507689878,0.3328282507689878,-0.00843538819263894,-0.00843538819263894
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3328190133609154,0.3328190133609154,-0.008436942893794902,-0.008436942893794902
1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33280977595284306,0.33280977595284306,-0.008438497924656506,-0.008438497924656506
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3328005385447707,0.3328005385447707,-0.008440053285302835,-0.008440053285302835
1.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3327913011366984,0.3327913011366984,-0.008441608975812982,-0.008441608975812982
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.332782063728626,0.332782063728626,-0.008443164996266095,-0.008443164996266095
1.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33277282632055366,0.33277282632055366,-0.008444721346741272,-0.008444721346741272
1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3327635889124813,0.3327635889124813,-0.00844627802731769,-0.00844627802731769
1.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33275435150440896,0.33275435150440896,-0.008447835038074529,-0.008447835038074529
1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3327451140963366,0.3327451140963366,-0.008449392379090988,-0.008449392379090988
1.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3327358766882643,0.3327358766882643,-0.008450950050446287,-0.008450950050446287
1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33272663928019186,0.33272663928019186,-0.008452508052219709,-0.008452508052219709
1,8.5,2.4726122678699123,2.502427534606229,0.2281583074251703,0.6302393578486701,33.57590100067888,35.569810332803115,False,False,0.11487511463304931,0.37652926101429063,0.444338116685099,0.444338116685099,0.33271740187211957,0.33271740187211957,-0.008454066384490451,-0.008454066384490451
1,9.0,3.499477028765525,3.529435049253699,0.3973922822302186,0.5469239554392408,33.01142961041986,34.17114274288869,True,True,0.14297879639636862,0.21980782423430095,0.9655761588387218,0.9655761588387218,0.33268783179519973,0.3326756750304126,-0.008459057020578515,-0.008461109739705106
1,9.5,3.764683410369736,3.7973979718365065,0.4508473133657722,0.57820324770744,32.97157378162392,34.08486171303424,True,True,0.15324131887089754,0.23123496371932195,1.3609619400409647,1.3609619400409647,0.33263738556434674,0.332620707767351,-0.008467578818058761,-0.008470398342807835
1,10.0,4.4621900095456395,4.490401292225075,0.5238573716394888,0.6446190428191743,32.88972658827046,33.290070559906106,False,False,0.1727005039910759,0.23754032458899751,0.9737773143754422,0.9737773143754422,0.3325733688054206,0.3325528404510896,-0.008478407287235869,-0.008481883042632149
1,10.5,5.245708179651057,5.2735196124838986,0.7241901423419421,0.705961468579045,32.4406735833289,32.728313817366,False,False,0.19379075632435414,0.2326977197770772,1.9023596175062103,1.9023596175062103,0.3325188509928234,0.3324946714561493,-0.00848764156814649,-0.008491740825976233
1,11.0,5.9148107157634335,5.929602906541733,0.8406013370174183,0.8316458964275234,32.072815302952606,32.338744359395506,False,False,0.2018041719379691,0.2212466172422849,1.6244292684503079,1.6244292684503079,0.33243020087032815,0.3324065724705431,-0.00850268193265538,-0.008506695897396025
1,11.5,6.5684569311220375,6.595453198004513,1.0320375211091066,0.9856488567757341,31.806174041140437,32.09606105384549,False,False,0.21460502469634807,0.24219947566231534,2.293125598226602,2.293125598226602,0.3323464342168905,0.33232307658138216,-0.008516921953434417,-0.008520897556167977
1,12.0,6.610394260248764,6.616010652179675,1.0256590984269085,0.9142366287095467,31.841897407979157,31.688068998301066,False,False,0.2166536808245585,0.22255409300885765,2.218292591594674,2.218292591594674,0.33223666179012457,0.33221470669791076,-0.00853562442053337,-0.008539370685594405
1,12.5,6.774165045422019,6.700087234099922,0.9715364590694227,0.7398672168674169,31.72072781588844,30.03896127557255,False,False,0.21902249988171704,0.17223498811315024,1.4220147723874825,1.4220147723874825,0.33212934475946143,0.3321107584824528,-0.008553954244458293,-0.008557133392701177
1,13.0,6.877138265295648,6.825778774695471,1.0111870785396122,0.8128438231284179,31.711647602311544,30.722326195732702,False,False,0.22242097733561306,0.19074457466123376,1.654790953724894,1.654790953724894,0.33204773925720477,0.3320361574099818,-0.008567922838349125,-0.008569907454741715
1,13.5,6.483843772652454,6.418009416159223,0.8883950099893534,0.6807677297906054,31.859809916815223,30.240518222807374,False,False,0.21586406361576155,0.1706371125549433,1.247604291718934,1.246598240907584,0.33195789703616796,0.33195231202043124,-0.008583331692605424,-0.008584290631778076
1,14.0,5.266244151945327,5.255706870130746,0.6761159796063595,0.6981787321241765,32.26531386765734,31.87219493165565,False,False,0.17694001197739556,0.18304742969031518,0.6312694755610414,0.6324524868991463,0.3318840785167277,0.33188480144892624,-0.008596016184434669,-0.008595891855957
1,14.5,2.5958051749926057,2.5961787872309237,0.3353403074832633,0.38411975037136703,16.086532170232573,16.126516116450215,False,False,0.08554937498226703,0.09713755141504773,0.4353960092562119,0.43608917353564347,0.33183531281591966,0.3318353329214538,-0.008604407594270265,-0.008604404132647446
1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2645685124266205,0.2648179473617876,0.3318027724939059,0.33180129681432874,-0.008610012247872249,-0.008610266514322154
1.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3317855359593583,0.33178405273821254,-0.0086129827218662,-0.008613238389238114
1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3317762985512859,0.33177481533014014,-0.008614575144354307,-0.008614830866115405
1.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3317670611432135,0.3317655779220678,-0.008616167905609078,-0.008616423681772456
1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33175782373514123,0.3317563405139955,-0.008617761005712026,-0.008618016836290772
