doy,hod,A(std),A(psi2),E(std),E(psi2),Ci(std),Ci(psi2),Rublim(std),Rublim(psi2),gs(std),gs(psi2),Es(std),Es(psi2),sw(std),sw(psi2),Ps(std),Ps(psi2)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[Pa],[Pa],[-],[-],[mol m-2 s-1],[mol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[m3 m-3],[m3 m-3],[MPa],[MPa]
1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2287939673076977,0.2287939673076977,-0.05263556463478072,-0.05263556463478072
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22879376794675577,0.22879376794675577,-0.05263585520243974,-0.05263585520243974
1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22879349611558814,0.22879349611558814,-0.05263625139811313,-0.05263625139811313
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22879316601678706,0.22879316601678706,-0.05263673252387911,-0.05263673252387911
1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23058273586093625,0.23058273586093625,-0.05010161474566124,-0.05010161474566124
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23058252208562907,0.23058252208562907,-0.050101909021796516,-0.050101909021796516
1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23117825117684093,0.23117825117684093,-0.0492895602183795,-0.0492895602183795
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23117788598118644,0.23117788598118644,-0.04929005351390846,-0.04929005351390846
1.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23147462176971437,0.23147462176971437,-0.04889110950977322,-0.04889110950977322
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23147412165723327,0.23147412165723327,-0.04889177872950433,-0.04889177872950433
1.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23147304714760067,0.23147304714760067,-0.04889321660801315,-0.04889321660801315
1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23147094192566928,0.23147094192566928,-0.048896033898612766,-0.048896033898612766
1.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.231469955961612,0.231469955961612,-0.0488973534190328,-0.0488973534190328
1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.231467794953217,0.231467794953217,-0.04890024565113393,-0.04890024565113393
1.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23146686976842054,0.23146686976842054,-0.04890148395267416,-0.04890148395267416
1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23146468609724943,0.23146468609724943,-0.04890440680289021,-0.04890440680289021
1.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2314637909710486,0.2314637909710486,-0.04890560499036647,-0.04890560499036647
1,9.0,2.334230029651642,2.382755253250976,0.20262734833255827,0.7108015615784847,16.05360880688532,17.70865368648487,False,False,0.07589339964948819,0.3081934612081503,0.023656932767543673,0.023656932767543673,0.23146161108693433,0.23146161108693433,-0.04890852305612407,-0.04890852305612407
1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23175229607446227,0.2317391797400309,-0.04852117513276483,-0.048538576404679845
1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23175162490415402,0.2317385085697226,-0.04852206539039805,-0.04853946703199527
1,10.5,2.5228724677699934,2.578417749186529,0.20662858538201886,0.9365246471385478,16.144017893428476,17.895609464517044,False,False,0.08517449568214712,0.4946491829008474,0.030081523951211407,0.030081523951211407,0.2320476499756096,0.2320345336411782,-0.04813123896543695,-0.048148478418384176
1,11.0,3.6276176188642437,3.694375957126033,0.29537676737526375,0.9158582810121068,16.1496655073265,17.624087066718403,False,False,0.12276599611347407,0.4820923138318759,0.1143694330349681,0.1143694330349681,0.23204055978065943,0.23200860431469275,-0.0481405570748729,-0.048182579667444804
1,11.5,5.603126378795758,5.665823436358643,0.4872871817736752,0.8382262067952045,16.094680201111156,16.938304911206377,False,False,0.18528653405972212,0.38563991253363744,0.3181942486380795,0.3181942486380795,0.23262394353218077,0.23257597300124377,-0.04738079527055988,-0.04744274252801815
1,12.0,6.248246390580499,6.312317799865793,0.5725226448859466,0.8912887465838992,16.032955731340973,16.76509219722192,False,False,0.2014500921018088,0.3848673914450993,0.41849945300501057,0.41849945300501057,0.2326007485198184,0.2325437200054237,-0.04741073669597627,-0.04748444550074888
1,12.5,4.524675738504597,4.59751786455503,0.40806418527083504,0.8977193316817659,15.999781825867124,17.20939441998146,False,False,0.1439447459677136,0.37405520026652817,0.19844874463691448,0.19844874463691448,0.23257175642612793,0.23250650033409093,-0.047448192129603155,-0.04753262312314918
1,13.0,4.678554859935036,4.747390028560739,0.4120722234520034,0.8494949865876585,16.060525760833293,17.16898708842184,False,False,0.15254632683465957,0.3726822362224474,0.2214090638670392,0.2214090638670392,0.2325548784004684,0.23247698396416097,-0.047470012948027655,-0.04757086973377818
1,13.5,3.811801587271103,3.878160921179658,0.32392656553667504,0.8421441929004427,16.126750899294212,17.462763187449386,False,False,0.12775362305771806,0.4041959947850966,0.14366454533600084,0.14366454533600084,0.23283359109773993,0.2327444064717699,-0.04711116133922111,-0.047225646608216765
1,14.0,3.815679086606036,3.873263250618768,0.33310990667256307,0.7084352931121338,16.09413156789953,17.23161183087262,False,False,0.12614970283538707,0.30948789725773324,0.1576628746836087,0.1576628746836087,0.23281773369139488,0.23271517350339985,-0.047131493798511136,-0.04726324270488954
1,14.5,3.0661347337301637,3.117289885436924,0.2627024613674784,0.635058757690539,16.138225564247875,17.410521028360538,False,False,0.1032616547209742,0.2866712943032054,0.10598498346737187,0.10598498346737187,0.23280373945016,0.23269149184953988,-0.04714944573672086,-0.04729372474593878
1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04028849741358199,0.04028849741358199,0.2327879208670163,0.2326660624880786,-0.04716974749031,-0.04732648171071082
1.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23308510049807182,0.23296324211913408,-0.04679002856929576,-0.0469453024657435
1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23307896877243137,0.2329571103934937,-0.04679782749006526,-0.04695313136082051
1.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23307884807063786,0.23295698969170017,-0.04679798102536632,-0.04695328548622588
1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2330786907184468,0.2329568323395091,-0.04679818118164435,-0.046953486411793685
1.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23337615473084378,0.2332542963519061,-0.04642156279618644,-0.04657542143700473
1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23336971997222478,0.23324786159328703,-0.04642967260376985,-0.04658356237481813
1.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23366695355895983,0.23354509518002212,-0.046056771406909204,-0.046209230654575405
1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23366026811674934,0.23353840973781162,-0.04606512057106673,-0.04621761182779955
1.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23395675815470535,0.2338348997757676,-0.04569652526583973,-0.04584760427617913
1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2339497972649292,0.2338279388859915,-0.04570513978072418,-0.045856251776452986
1.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23424547148414704,0.23412361310520935,-0.04534087581142125,-0.04549059388340712
1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2342382095337935,0.23411635115485588,-0.04534978201158173,-0.045499534143732076
1.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2345329934768074,0.23441113509786968,-0.04498987509831747,-0.04513825167558853
1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2345254043199663,0.2344035459410286,-0.044999099262099974,-0.04514751107221431
1.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2348192223166408,0.2346973639377031,-0.04464357420433366,-0.04479062887064497
