doy,hod,A(std),A(psi2),E(std),E(psi2),Ci(std),Ci(psi2),Rublim(std),Rublim(psi2),gs(std),gs(psi2),Es(std),Es(psi2),sw(std),sw(psi2),Ps(std),Ps(psi2)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[Pa],[Pa],[-],[-],[mol m-2 s-1],[mol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[m3 m-3],[m3 m-3],[MPa],[MPa]
1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3213800608044185,0.3213800608044185,-0.009649751044448122,-0.009649751044448122
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3213733094111419,0.3213733094111419,-0.009651141785433739,-0.009651141785433739
1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32136445655584056,0.32136445655584056,-0.009652965761287676,-0.009652965761287676
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3213556037005392,0.3213556037005392,-0.009654790132117348,-0.009654790132117348
1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.321346750845238,0.321346750845238,-0.009656614898019151,-0.009656614898019151
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32133789798993667,0.32133789798993667,-0.009658440059089555,-0.009658440059089555
1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3213290451346354,0.3213290451346354,-0.009660265615425021,-0.009660265615425021
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32132019227933406,0.32132019227933406,-0.009662091567122048,-0.009662091567122048
1.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3213113394240327,0.3213113394240327,-0.009663917914277148,-0.009663917914277148
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32130248656873145,0.32130248656873145,-0.00966574465698686,-0.00966574465698686
1.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3212936337134301,0.3212936337134301,-0.009667571795347772,-0.009667571795347772
1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32128478085812884,0.32128478085812884,-0.009669399329456456,-0.009669399329456456
1.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32127592800282745,0.32127592800282745,-0.009671227259409583,-0.009671227259409583
1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3212670751475262,0.3212670751475262,-0.00967305558530375,-0.00967305558530375
1.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3212582222922249,0.3212582222922249,-0.009674884307235678,-0.009674884307235678
1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32124936943692356,0.32124936943692356,-0.009676713425302056,-0.009676713425302056
1.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3212405165816222,0.3212405165816222,-0.009678542939599608,-0.009678542939599608
1.0,9.0,0.0,-0.0017073371001876374,0.0,0.1099469089499808,0.0,18.5,0.0,0.0,0.0,0.3171689928235363,0.0,0.0,0.32123166372632095,0.32123166372632095,-0.009680372850225077,-0.009680372850225077
1.0,9.5,0.0,-0.0019172325638528078,0.0,0.11544533864620851,0.0,18.5,0.0,0.0,0.0,0.43833750596752336,0.0,0.0,0.3212228108710196,0.3212141918710735,-0.009682203157275283,-0.009683985496227208
1.0,10.0,0.0,-0.0022266612536316764,0.0,0.11864691557043247,0.0,18.5,0.0,0.0,0.0,0.40189273604589826,0.0,0.0,0.3212139580157184,0.32119628898083186,-0.009684033860846994,-0.009687688869576357
1.0,10.5,0.0,-0.002346521758734336,0.0,0.12055096245299679,0.0,18.5,0.0,0.0,0.0,0.3568116596777546,0.0,0.0,0.32120510516041706,0.321178135111353,-0.009685864961037086,-0.009691445817315335
1.0,11.0,0.0,-0.0024091511664929544,0.0,0.12159946975136013,0.0,18.5,0.0,0.0,0.0,0.34101310996747597,0.0,0.0,0.3211962523051157,0.3211598319791061,-0.0096876964579424,-0.009695235345119995
1.0,11.5,0.0,-0.0025852791474908123,0.0,0.12199327332471875,0.0,18.5,0.0,0.0,0.0,0.3867887142630135,0.0,0.0,0.32118739944981445,0.32114144665187583,-0.009689528351659805,-0.009699043600115564
1.0,12.0,0.0,-0.0028159366354760422,0.0,0.12180057774089607,0.0,18.5,0.0,0.0,0.0,0.3548315234232862,0.0,0.0,0.3211785465945131,0.3211230304534458,-0.009691360642286252,-0.009702859967980778
1.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3211696937392118,0.3211046293608815,-0.009693193329918665,-0.009706674924019382
1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32108007152325646,0.3210150073730631,-0.009711768987990777,-0.009725280143577063
1.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3209694118166102,0.32090434788118266,-0.00973476130564516,-0.009748309076678462
1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32085881262602356,0.32079374903571845,-0.009757803388521261,-0.009771387839545294
1.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32074827895042485,0.32068321588139365,-0.009780894279040966,-0.009794515463310366
1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32063781588887946,0.3205727535683544,-0.009804032987359339,-0.00981769094557036
1.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3205274286279076,0.3204623673384153,-0.009827218493677908,-0.009840913252913
1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.320417122429141,0.32035206251176296,-0.009850449750528994,-0.009864181323393577
1.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32030690261735206,0.32024184447414056,-0.009873725685022785,-0.009887494068954535
1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3201967745688805,0.32013171866452605,-0.009897045201051204,-0.00991085037778405
1.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32008674370047785,0.3200216905633158,-0.009920407181442647,-0.009934249116609459
1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.319976815458585,0.3199117656810208,-0.009943810490063336,-0.009957689132922555
1.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3198669953090553,0.3198019495474787,-0.009967253973861057,-0.009981169257134074
1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3197572887273309,0.31969224770158244,-0.009990736464848418,-0.010004688304655776
1.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3196477011890753,0.3195826656815255,-0.010014256782022966,-0.01002824507790817
1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31953823816126664,0.31947320901555726,-0.010037813733222298,-0.010051838368253458
1.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31942890509374927,0.3193638832132458,-0.010061406116912466,-0.010075466957852594
1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31931970741124205,0.31925469375723864,-0.010085032723908711,-0.010099129621446625
1.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3192106505057971,0.3191456460955138,-0.010108692339028218,-0.010122825128061976
1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3191017397297057,0.319036745634111,-0.010132383742673787,-0.01014655224264053
1.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31899298038884055,0.31892799773033137,-0.010156105712349227,-0.01017030972759463
1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31888437773642825,0.31881940768639494,-0.0101798570241063,-0.010194096344288198
1.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3187759369672405,0.31871098074354237,-0.010203636453923715,-0.010217910854444696
1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31866766321219425,0.3186027220765676,-0.010227442779019087,-0.010241752021483348
2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3185595615333494,0.3184946367887685,-0.010251274779094623,-0.01026561861178487
