doy,hod,A(std),E(std),Ci(std),Rublim(std),gs(std),Es(std),sw(std),Ps(std)
[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[Pa],[-],[mol m-2 s-1],[mmol m-2 s-1],[m3 m-3],[MPa]
1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.42206520000000003,-0.0015114855599999998
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41911915114754245,-0.0015899237749520383
1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.416173102307542,-0.0016730294935425175
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41322705346754157,-0.0017611164970172822
1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.41028100462754113,-0.0018545221189698183
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4074686111861124,-0.0019489854169077996
1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.40485812408003535,-0.0020415961249557464
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4024615869912673,-0.0021310492475137698
1.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.40026587797840346,-0.0022169408065771203
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3982500400181355,-0.002299280790792765
1.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3963924943655602,-0.0023782494044099875
1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39467357462955477,-0.0024540854339853238
1.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3930761687655158,-0.0025270369732419413
1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3915856565025733,-0.002597340664632373
1.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3901896195721498,-0.0026652139182712724
1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38887750938772625,-0.0027308529915416775
1.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3876403386089155,-0.0027944336353234217
1,9.0,0.8928588108811236,0.041203637032080215,13.949196810279865,True,0.015605617633615024,0.06565655544136735,0.3864704159850667,-0.0028561127690359994
1,9.5,1.2234834422748149,0.0589099113170448,27.81087591279739,True,0.0211806932333332,0.12790165993926764,0.38535857793945844,-0.002916169729522908
1,10.0,2.0792134413182595,0.1114585076670677,27.327173273116983,True,0.03419494327122404,0.21704559175028668,0.3842997452314835,-0.0029747033959575076
1,10.5,2.4879298844846667,0.1382899054926467,27.291159499598137,True,0.040764958105480704,0.3270025498317353,0.38328747240794864,-0.003031916805998642
1,11.0,4.004149133989525,0.26629347088255345,26.057670237347732,True,0.05821255842697007,0.320078980390419,0.38231753050531675,-0.003087915681333977
1,11.5,2.6166753935965454,0.1377367206099674,27.364640384817022,True,0.043201433249828156,0.21728420659624756,0.38138647757658856,-0.003142779431710273
1,12.0,0.8964501547052134,0.04685171822380525,13.777695394990754,True,0.015099354260052048,0.13113258820309617,0.3804993493319563,-0.0031960894631565626
1,12.5,1.1966626294853968,0.07303707268157893,13.241248502831585,True,0.01809986404524364,0.0965223438550284,0.379651866196774,-0.003247980555594946
1,13.0,1.11827688807159,0.0634224040822613,13.409030203110305,True,0.017471695827141677,0.05304117073719625,0.3788373515428475,-0.0032987586842602437
1,13.5,0.9000500036544059,0.04620826936436666,13.652533920950935,True,0.014768557697693379,0.016545842564832814,0.37805449674601754,-0.003348416462772343
1,14.0,0.8242946586176314,0.042329165476410927,13.69292414401535,True,0.013639163362565524,0.03351849961884716,0.3773011872858708,-0.003397005058374808
1,14.5,3.3092885815526203,0.18991617605186595,26.548346595604635,True,0.05036929521200441,0.09181299364581026,0.3765739138050729,-0.003444677243830002
1,15.0,3.2782961222434457,0.20068704664237066,12.894532815504492,False,0.046518169886704396,0.020682136742814942,0.37586634864571294,-0.003491789824321072
1,15.5,2.3185477379534545,0.1284923427444202,13.157320914384856,False,0.03451780757703421,0.0,0.37518327162824006,-0.003537968985523136
1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37452403296572856,-0.00358319694614167
1.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.37431697169741124,-0.003597538238765612
1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3741178968862924,-0.0036113880246511285
1.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3739267939947024,-0.0036247403280458583
1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3737435974034597,-0.003637593006432223
1.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3731388420313597,-0.003680391136491462
1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37255240904365633,-0.0037224408806525253
1.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3719831408305135,-0.0037637837599812495
1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3718603109930607,-0.0037727726441676157
1.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3713123504821393,-0.0038131721345543794
1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3712101680795225,-0.003820760099945005
1.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.370681837159354,-0.0038602687030139617
1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3701676536191344,-0.0038991665378870304
1.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3705292032451889,-0.0038717691181547518
1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37002249019670463,-0.003910228743385271
1.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3699604602679197,-0.003914966638116964
1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3694704685774432,-0.003952623164753884
2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3689929319720417,-0.003989719749499897
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36852716202665403,-0.004026284557040392
2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3680725334854278,-0.004062343075853499
2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3676284760610494,-0.004097918481796144
2.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.36719446758098845,-0.004133031940442253
2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3667700282195129,-0.004167702860146876
2.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.36635471561173916,-0.004201949105180754
2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3659481206894191,-0.004235787176286888
2.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.36554986411134177,-0.004269232364486561
2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3651595931867797,-0.004302298882786993
2.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.364776979210259,-0.0043349999795290525
2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3644017151414585,-0.004367348036398436
2.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3640335135762886,-0.004399354653559471
2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3636721049649117,-0.004431030723923399
2.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.36331723604022603,-0.004462386498205663
2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3629686684265701,-0.004493431642139731
2.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3626261774034443,-0.004524175286983296
2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3622895508031434,-0.004554626074264646
2,9.5,1.3650773153178912,0.0670508666996526,13.774024475712844,True,0.022974815032192595,0.01454822759061359,0.3619585880245405,-0.004584792195563391
2,10.0,1.493540649955524,0.07289472368531956,13.769749228461004,False,0.025114187140147334,0.0,0.3616311535543821,-0.00461486075512272
2,10.5,1.7881854168785651,0.09347870802060186,13.735826631892703,True,0.029854598781499674,0.20259779161264152,0.3613092204926265,-0.004644643179821855
2,11.0,5.088872707016803,0.277042520086972,27.136345440732594,True,0.08207293830405601,0.41281267488806467,0.3609870890336817,-0.004674663170904605
2,11.5,5.433101666095894,0.3070961853335048,26.96912377094994,True,0.08616387251947344,0.5047879833362222,0.36066052922635167,-0.004705321526827153
2,12.0,5.640917634786685,0.3256885619683398,26.836945182608154,True,0.0882961444995371,0.4974422221091658,0.3603358660589308,-0.004736028940902592
2,12.5,2.24226196307474,0.1268365611342315,13.442244600006887,True,0.035262636338957244,0.1590873640067485,0.36001559391272214,-0.004766544772709154
2,13.0,2.0904376490725682,0.11472824976805351,13.554772823539569,True,0.03362305888614823,0.1822727671746907,0.3597126496072714,-0.0047956157522676245
2,13.5,5.0460268666503625,0.27809896615086394,13.40536780991155,False,0.07878127117571718,0.19083054853426856,0.3594138265562183,-0.004824489160191508
2,14.0,5.193918528792249,0.297413118784167,26.670627686119587,False,0.0799903226804344,0.21598913832055702,0.3591151619044654,-0.00485354517914098
2,14.5,5.126280127317398,0.2902251350561396,26.742228160291937,False,0.07949971014673676,0.229595632342596,0.3588195726717342,-0.00488249831408684
2,15.0,4.779061919615818,0.27903067882740196,26.589093587067115,False,0.07302479662767043,0.2846931177642665,0.3585278495748426,-0.004911265698956856
2,15.5,5.670442495612867,0.34624926039938386,26.357248471132138,False,0.08475771903209403,0.42296519923692283,0.35823898724320624,-0.004939941261696863
2,16.0,5.570260552224086,0.33689494646729323,26.3486985757381,False,0.08319342628900041,0.3388415620786804,0.3583846446931274,-0.004925457991371784
2.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3580952741290937,-0.0049542787356362675
2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3578258244102654,-0.004981288131785933
2.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3579958084146011,-0.004964229628773617
2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3577284292536902,-0.004991092151745847
2.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35746475353781115,-0.005017744782016284
2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35764051640691524,-0.004999960527733146
2.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35737880533239474,-0.00502646750903412
2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35712068870103625,-0.00505276724308454
2.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35686606192898435,-0.00507886499431763
2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35661482541562217,-0.005104765774149941
2.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35636688420452084,-0.005130474358932394
2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3561221476742234,-0.005155995306271084
2.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3558805292556928,-0.005181332969893813
2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.355641946173642,-0.005206491513216537
2.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35540631920930027,-0.005231474921745252
2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3551735724824602,-0.005256287014432764
3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35494363325090234,-0.005280931454095497
3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.354716431725511,-0.005305411756983651
3.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.354491900899586,-0.0053297313015871805
3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35426997639102076,-0.005353893336751064
3.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3540505962961632,-0.0053779009891648175
3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35383370105430045,-0.005401757270284683
3.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35361923332182355,-0.005425465082740235
3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353407137855224,-0.005449027226271934
3.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35319736140216246,-0.0054724464032411485
3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3529898525999252,-0.005495725223750122
3.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35278456188065355,-0.005518866210405337
3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3525814413827892,-0.005541871802754598
3.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3523804448682354,-0.00556474436142506
3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3521815276447781,-0.005587486171986784
3.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35198464649335603,-0.005610099448564213
3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3517897595998058,-0.005632586337215493
3.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.35159682649074164,-0.005654948919098288
3,9.0,1.1308861438397473,0.056463600477751015,13.734624334351075,True,0.018875913323013582,0.11830660638696947,0.35140580797326143,-0.005677189213438321
3,9.5,1.6745938432583172,0.0890549546532537,27.269223283038656,True,0.02737651676145773,0.2877144898847445,0.35121249897555895,-0.005699797622522947
3,10.0,2.0102112319976113,0.1157155431772444,26.957249064788584,True,0.03184235806407082,0.4606961795908517,0.3510162134681347,-0.005722859087838415
3,10.5,2.2482002895608897,0.1357139252328538,26.820155143222706,True,0.03513258166798044,0.6227561915344078,0.35081697196969097,-0.005746376551333905
3,11.0,2.511142045153263,0.1573351577193954,26.64463204757534,True,0.03876124162242227,0.7630726516474106,0.35061515913202196,-0.005770309750636604
3,11.5,2.656394292262894,0.16935088699804968,26.5988276525674,True,0.04082551685622755,0.8704338488484507,0.35041122112131606,-0.005794610324326763
3,12.0,2.8144012834974648,0.18291652984256693,26.54351781938907,True,0.04304190706165441,0.9443881543343904,0.35020614013600526,-0.00581916464780271
3,12.5,2.6764807926821748,0.17150173049935719,26.634601731643393,True,0.04126305273117109,0.9777422251881179,0.35000064410776704,-0.005843887547080218
3,13.0,2.7828362814172363,0.18121624606720024,26.56937302408256,True,0.04265374402445482,0.9719384503104695,0.3497962659631878,-0.005868594628305279
3,13.5,3.0095767050311064,0.19757190897961707,26.45423542728666,True,0.045622830286863814,0.9344461121337904,0.34959340570205943,-0.005893235879699267
3,14.0,3.2386330577733906,0.21736153755077536,26.20837102799022,True,0.04796395214198413,0.8423149340098649,0.3493926315184254,-0.0059177397808503045
3,14.5,3.179306939682907,0.2095893327619755,26.198518697541253,True,0.0469843937855804,0.728296481024767,0.3491951360955962,-0.005941956747432057
3,15.0,2.908002613619207,0.18554477287133192,26.31275742309855,True,0.043285789518775805,0.5899187652903846,0.3490020710313751,-0.005965739574108398
3,15.5,2.7830258185943433,0.1736844232793577,26.345850823869895,True,0.04155417418797786,0.4207026000853235,0.348814378433732,-0.005988964532134527
3,16.0,2.4295679043931875,0.14280583311099296,26.583113438959074,True,0.03710284050642468,0.2518562725614407,0.34863247711727596,-0.006011571147773932
3.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.34845678645103795,-0.006033498178719684
3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34829192978257334,-0.006054155911287845
3.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3481284730959754,-0.006074717751013717
3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34796639305171917,-0.00609518495512845
3.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3478056669078108,-0.006115558751504874
3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34764627249839875,-0.0061358403397170766
3.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3474881882133981,-0.006156030892046747
3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3473313929790647,-0.006176131554439796
3.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3471758662394654,-0.006196143447416342
3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3470215879387911,-0.006216067666936974
3.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3468685385044662,-0.0062359052852278074
3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34671669883100653,-0.006255657351567097
3.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3465660502645876,-0.00627532489303541
3.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34641657458828007,-0.006294908915231798
3.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.34626825400792,-0.006314410402957622
3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3461210711385761,-0.006333830320870218
