doy,hod,A(std),A(psi2),E(std),E(psi2),Ci(std),Ci(psi2),Rublim(std),Rublim(psi2),gs(std),gs(psi2),Es(std),Es(psi2),sw(std),sw(psi2),Ps(std),Ps(psi2)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[Pa],[Pa],[-],[-],[mol m-2 s-1],[mol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[m3 m-3],[m3 m-3],[MPa],[MPa]
1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3327142484736618,0.3327142484736618,-0.008454598432187606,-0.008454598432187606
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3327070177836026,0.3327070177836026,-0.008455818554140779,-0.008455818554140779
1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33269778037553027,0.33269778037553027,-0.008457377588695449,-0.008457377588695449
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.332688542967458,0.332688542967458,-0.008458936953995246,-0.008458936953995246
1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3326793055593856,0.3326793055593856,-0.008460496650119534,-0.008460496650119534
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3326700681513133,0.3326700681513133,-0.008462056677147662,-0.008462056677147662
1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33266083074324093,0.33266083074324093,-0.008463617035159049,-0.008463617035159049
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3326515933351685,0.3326515933351685,-0.008465177724233122,-0.008465177724233122
1.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3326423559270962,0.3326423559270962,-0.008466738744449283,-0.008466738744449283
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33263311851902383,0.33263311851902383,-0.008468300095887012,-0.008468300095887012
1.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3326238811109514,0.3326238811109514,-0.008469861778625794,-0.008469861778625794
1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.332614643702879,0.332614643702879,-0.008471423792745136,-0.008471423792745136
1.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3326054062948068,0.3326054062948068,-0.008472986138324515,-0.008472986138324515
1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33259616888673443,0.33259616888673443,-0.008474548815443524,-0.008474548815443524
1.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33258693147866203,0.33258693147866203,-0.008476111824181726,-0.008476111824181726
1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33257769407058974,0.33257769407058974,-0.00847767516461868,-0.00847767516461868
1,8.5,2.7142260421330526,2.714603151921318,0.22022143492965734,0.22327305011901105,33.90338947276598,33.979945611375,False,False,0.13943624536149132,0.1468406857245715,0.43569926650450214,0.43569926650450214,0.3325684566625173,0.3325684566625173,-0.008479238836834043,-0.008479238836834043
1,9.0,3.854528590918049,3.8121796845730236,0.39566430124869245,0.26086977757888913,33.326417494766595,31.78319387054441,True,True,0.17236545945914253,0.12488113513976462,0.9406753520399465,0.9406753520399465,0.33253938774615094,0.33253929548174793,-0.008484161674695399,-0.008484177304960178
1,9.5,4.146166611047096,4.082299806690976,0.49710594911468015,0.29885330055962084,32.94287428206002,30.980713383182568,True,True,0.1682852524516344,0.11332908079671478,1.31226160965828,1.31226160965828,0.33248974662638003,0.33249372982217873,-0.008492576032144246,-0.008491900511193197
1,10.0,4.891638106565947,4.802722956287175,0.559587733888451,0.3404838320923411,32.956710941983275,30.30405880752072,False,False,0.1924579196722506,0.12218116728833098,0.9409106432607118,0.9409106432607118,0.33242580369114516,0.33243578097896676,-0.008503428755208502,-0.008501734308496881
1,10.5,5.756824607525245,5.603382549771854,0.7684398422492574,0.38906101104233504,32.56552683986226,29.594391214779378,False,False,0.21863048591908146,0.12729275763113035,1.8381550289389472,1.8381550289389472,0.33237119929595604,0.33238780110536414,-0.008512709126623077,-0.008509886308955002
1,11.0,6.487625605509772,6.236815619476609,0.860777010277961,0.4034358626022279,32.28160174278639,27.9661360924662,False,False,0.2340721327731335,0.11690212243801311,1.5746414327297782,1.5746414327297782,0.3322831525017884,0.33231122468318086,-0.008527697807145854,-0.00852291563338949
1,11.5,7.184242766520274,6.790719539902305,1.0994339771829957,0.4484625407580086,31.908681018049084,26.275668893779745,False,False,0.24015333173633027,0.10787577537552132,2.216572014359969,2.216572014359969,0.33220028116061057,0.332242180874422,-0.008541833189377039,-0.008534682979621983
